Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector,stock_id
APPALOOSA LP,Micron Technology Inc.,MU,2018-09-30,SH,36000000.0,1628280000.0,40527800.0,2125278000.0,28.6183,24.1931,1,1,-11.172084,reduction,INFORMATION TECHNOLOGY,488
APPALOOSA LP,Meta Platforms Inc,META,2018-09-30,SH,3300000.0,542718000.0,5075000.0,986174000.0,9.5387,11.2261,2,2,-34.975369,reduction,COMMUNICATIONS,123861
APPALOOSA LP,Allergan Plc,AGN,2018-09-30,SH,1992591.0,379549000.0,3390000.0,565181000.0,6.6709,6.4337,3,3,-41.221504,reduction,HEALTH CARE,138708
APPALOOSA LP,Alibaba Group Holding Ltd ADR,BABA,2018-09-30,SH,1500000.0,247140000.0,2642974.0,490351000.0,4.3437,5.5819,4,4,-43.245753,reduction,COMMUNICATIONS,173707
APPALOOSA LP,Alphabet Inc. Class C,GOOG,2018-09-30,SH,4000000.0,238694000.0,6620000.0,369280000.0,4.1952,4.2037,5,6,-39.577039,reduction,COMMUNICATIONS,166886
APPALOOSA LP,Altaba Inc. (Yahoo),AABA,2018-09-30,SH,3380000.0,230246000.0,6412700.0,469474000.0,4.0468,5.3443,6,5,-47.292092,reduction,FINANCE,2412
APPALOOSA LP,T-Mobile US Inc,TMUS,2018-09-30,SH,2690127.0,188793000.0,4000000.0,239000000.0,3.3182,2.7207,7,7,-32.746825,reduction,UTILITIES AND TELECOMMUNICATIONS,140861
APPALOOSA LP,PG&E Corp. (Pacific Gas & Electric),PCG,2018-09-30,SH,3991033.0,183627000.0,1793967.0,76351000.0,3.2274,0.8691,8,31,122.4697,addition,UTILITIES AND TELECOMMUNICATIONS,4367
APPALOOSA LP,Lam Research Corp.,LRCX,2018-09-30,SH,1175000.0,178248000.0,1380000.0,238533000.0,3.1328,2.7153,9,8,-14.855072,reduction,INFORMATION TECHNOLOGY,2661
APPALOOSA LP,XPO Logistics Inc,XPO,2018-09-30,SH,3903000.23,154114000.0,4756473.24,164801000.0,2.7087,1.876,10,12,-17.9434,reduction,TRANSPORTS,9247
APPALOOSA LP,Caesars Entertainment Corp (delisted after merger with Eldorado,CZR,2018-09-30,SH,14522636.0,148857000.0,15774344.0,168785000.0,2.6163,1.9214,11,11,-7.935088,reduction,CONSUMER DISCRETIONARY,118982
APPALOOSA LP,Bank of America Corp. (North Carolina National Bank),BAC,2018-09-30,SH,3383263.0,99671000.0,7243695.0,204200000.0,1.7518,2.3245,12,9,-53.293685,reduction,FINANCE,205
APPALOOSA LP,State Street Corp. (State Street Bank & Trust Co. Boston MA),STT,2018-09-30,SH,1185823.0,99348000.0,0.0,0.0,1.7461,,13,999999,,new,FINANCE,281
APPALOOSA LP,NRG Energy Inc,NRG,2018-09-30,SH,2616982.0,97875000.0,2572442.0,78974000.0,1.7202,0.899,14,29,1.731429,addition,UTILITIES AND TELECOMMUNICATIONS,4138
APPALOOSA LP,UnitedHealth Group Inc.,UNH,2018-09-30,SH,348890.0,92819000.0,529390.0,129881000.0,1.6314,1.4785,15,13,-34.095846,reduction,HEALTH CARE,153
APPALOOSA LP,Mr Cooper Group Inc,COOP,2018-09-30,SH,5228498.26,87246000.0,112925.31,1817000.0,1.5334,0.0207,16,49,4530.049951,addition,FINANCE,120623
APPALOOSA LP,Centene Corp,CNC,2018-09-30,SH,1179376.0,85375000.0,2051832.0,126403000.0,1.5005,1.4389,17,15,-42.52083,reduction,HEALTH CARE,623
APPALOOSA LP,Energy Transfer Equity LP,ETP,2018-09-30,SH,3827431.0,85199000.0,5551581.0,105702000.0,1.4974,1.2033,18,17,-31.056919,reduction,ENERGY,3791
APPALOOSA LP,Dollar General Corp.,DG,2018-09-30,SH,746130.0,81552000.0,918719.0,90586000.0,1.4333,1.0312,19,22,-18.785831,reduction,CONSUMER DISCRETIONARY,85548
APPALOOSA LP,Caesars Entertainment Corp (delisted after merger with Eldorado,CZR,2018-09-30,PRN,48992834.0,81136000.0,48992834.0,84464000.0,1.426,0.9615,20,26,0.0,,CONSUMER DISCRETIONARY,118982
APPALOOSA LP,Energy Transfer Equity LP,ET,2018-09-30,SH,4372241.0,76208000.0,5975672.0,103080000.0,1.3394,1.1734,21,20,-26.832647,reduction,ENERGY,3779
APPALOOSA LP,Atlantica Sustainable Infrastr PLC,AY,2018-09-30,SH,3351273.0,68969000.0,3461464.0,69852000.0,1.2122,0.7952,22,33,-3.183364,reduction,UTILITIES AND TELECOMMUNICATIONS,168136
APPALOOSA LP,Kennametal Inc.,KMT,2018-09-30,SH,1484134.0,64649000.0,2017257.0,72420000.0,1.1363,0.8244,23,32,-26.428115,reduction,INDUSTRIALS,5117
APPALOOSA LP,Cheniere Energy Inc,LNG,2018-09-30,SH,918000.0,63792000.0,1229741.0,80167000.0,1.1212,0.9126,24,28,-25.350135,reduction,ENERGY,6901
APPALOOSA LP,Owens Corning Inc,OC,2018-09-30,SH,1073813.0,58276000.0,1409164.0,89299000.0,1.0242,1.0165,25,23,-23.797869,reduction,INDUSTRIALS,890
APPALOOSA LP,Huntsman Corp,HUN,2018-09-30,SH,2030039.0,55278000.0,3109041.0,90784000.0,0.9716,1.0334,26,21,-34.7053,reduction,MATERIALS,2568
APPALOOSA LP,Summit Materials Inc,SUM,2018-09-30,SH,3030080.31,54166000.0,2624179.34,67733000.0,0.952,0.771,27,34,15.46773,addition,INDUSTRIALS,176547
APPALOOSA LP,Vistra Energy Corp,VST,2018-09-30,SH,1983745.0,49356000.0,1870951.0,44267000.0,0.8675,0.5039,28,40,6.028699,addition,ENERGY,198258
APPALOOSA LP,Boyd Gaming Corp.,BYD,2018-09-30,SH,1356000.0,45901000.0,1354896.0,46961000.0,0.8067,0.5346,29,39,0.081482,addition,CONSUMER DISCRETIONARY,616
APPALOOSA LP,Thermo Fisher Scientific Inc.,TMO,2018-09-30,SH,187000.0,45643000.0,585000.0,121177000.0,0.8022,1.3794,30,16,-68.034188,reduction,HEALTH CARE,468
APPALOOSA LP,TerraForm Power Inc,TERP,2018-09-30,SH,3059858.0,35341000.0,3404955.0,39838000.0,0.6211,0.4535,31,42,-10.135141,reduction,ENERGY,171201
APPALOOSA LP,Boston Scientific Inc.,BSX,2018-09-30,SH,853875.0,32874000.0,2528138.0,82670000.0,0.5778,0.9411,32,27,-66.225143,reduction,HEALTH CARE,379
APPALOOSA LP,Element Solutions Inc,ESI,2018-09-30,SH,2323706.0,28977000.0,4338801.0,50330000.0,0.5093,0.5729,33,36,-46.443591,reduction,MATERIALS,165240
APPALOOSA LP,Williams Cos. (The),WMB,2018-09-30,SH,1044422.0,28398000.0,0.0,0.0,0.4991,,34,999999,,new,ENERGY,532
APPALOOSA LP,Apple Inc,AAPL,2018-09-30,SH,400000.0,22574000.0,0.0,0.0,0.3968,,35,999999,,new,INFORMATION TECHNOLOGY,195
APPALOOSA LP,Stryker Corp.,SYK,2018-09-30,SH,92000.0,16347000.0,316000.0,53360000.0,0.2873,0.6074,36,35,-70.886076,reduction,HEALTH CARE,282
APPALOOSA LP,Venator Materials PLC,VNTRF,2018-09-30,SH,1378979.0,12411000.0,1751541.0,28655000.0,0.2181,0.3262,37,45,-21.270527,reduction,MATERIALS,202987
APPALOOSA LP,Williams Partners L.P.,WPZ,2018-09-30,SH,0.0,0.0,2119775.0,86042000.0,,0.9795,999999,24,-100.0,soldall,ENERGY,743
APPALOOSA LP,MGM Resorts International Inc.,MGM,2018-09-30,SH,0.0,0.0,793504.0,23035000.0,,0.2622,999999,47,-100.0,soldall,CONSUMER DISCRETIONARY,254
APPALOOSA LP,UBS Group AG ADR,UBS,2018-09-30,SH,0.0,0.0,6828480.0,105698000.0,,1.2032,999999,18,-100.0,soldall,FINANCE,175081
APPALOOSA LP,Citizens Financial Group Inc,CFG,2018-09-30,SH,0.0,0.0,1257694.0,48924000.0,,0.5569,999999,37,-100.0,soldall,FINANCE,174010
