Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector,stock_id
BERKSHIRE HATHAWAY INC,Coca Cola Co.,KO,2002-12-31,SH,400000000.0,8768001000.0,400000000.0,9592000000.0,31.0152,34.702,1,1,0.0,,CONSUMER STAPLES,386
BERKSHIRE HATHAWAY INC,American Express Co,AXP,2002-12-31,SH,151610700.0,5359437000.0,151610700.0,4727222000.0,18.958,17.1022,2,2,0.0,,FINANCE,368
BERKSHIRE HATHAWAY INC,Gillette Co. (The),G,2002-12-31,SH,96000000.0,2914560000.0,96000000.0,2841600000.0,10.3097,10.2804,3,3,0.0,,CONSUMER STAPLES,107176
BERKSHIRE HATHAWAY INC,Wells Fargo & Co.  (Northwest Bancorporation),WFC,2002-12-31,SH,106530160.0,2496535000.0,106530160.0,2565246000.0,8.831,9.2806,4,4,0.0,,FINANCE,309
BERKSHIRE HATHAWAY INC,Wesco Financial Corp.,WSC,2002-12-31,SH,5703087.0,1767672000.0,5703087.0,1753699000.0,6.2528,6.3445,5,5,0.0,,FINANCE,11541
BERKSHIRE HATHAWAY INC,The Washington Post Company,WPO,2002-12-31,SH,1727765.0,1275091000.0,1727765.0,1121319000.0,4.5104,4.0567,6,7,0.0,,Communications,4926
BERKSHIRE HATHAWAY INC,Moodys Corp,MCO,2002-12-31,SH,48000000.0,990960000.0,48000000.0,1164000000.0,3.5053,4.2111,7,6,0.0,,FINANCE,2707
BERKSHIRE HATHAWAY INC,Block (H&R) Inc.,HRB,2002-12-31,SH,31998400.0,643168000.0,31998400.0,672126000.0,2.2751,2.4316,8,8,0.0,,CONSUMER DISCRETIONARY,378
BERKSHIRE HATHAWAY INC,M&T Bank Corp. (Buffalo NY) (Manufacturers & Traders Trust),MTB,2002-12-31,SH,6708760.0,532341000.0,6708760.0,528717000.0,1.8831,1.9128,9,9,0.0,,FINANCE,3627
BERKSHIRE HATHAWAY INC,First Data Corp.,FDC,2002-12-31,SH,11234500.0,397814000.0,0.0,0.0,1.4072,,10,999999,,new,INFORMATION TECHNOLOGY,97351
BERKSHIRE HATHAWAY INC,SunTrust Banks Inc.,STI,2002-12-31,SH,5806300.0,330494000.0,5806300.0,356972000.0,1.1691,1.2915,11,10,0.0,,FINANCE,11359
BERKSHIRE HATHAWAY INC,Gap (The),GPS,2002-12-31,SH,20000000.0,310400000.0,20000000.0,217000000.0,1.098,0.7851,12,13,0.0,,CONSUMER DISCRETIONARY,981
BERKSHIRE HATHAWAY INC,NIKE Inc.,NKE,2002-12-31,SH,48000000.0,266820000.0,48000000.0,259080000.0,0.9438,0.9373,13,12,0.0,,CONSUMER DISCRETIONARY,4000
BERKSHIRE HATHAWAY INC,Iron Mountain Inc.,IRM,2002-12-31,SH,12000000.0,264080000.0,10006800.0,166723000.0,0.9341,0.6032,14,18,19.918455,addition,INDUSTRIALS,5651
BERKSHIRE HATHAWAY INC,Tegna Inc. (Gannett Co.),TGNA,2002-12-31,SH,3636800.0,261122000.0,3636800.0,262504000.0,0.9237,0.9497,15,11,0.0,,COMMUNICATIONS,4336
BERKSHIRE HATHAWAY INC,Trane Inc,TT,2002-12-31,SH,9696000.0,229924000.0,9696000.0,205620000.0,0.8133,0.7439,16,14,0.0,,INDUSTRIALS,97410
BERKSHIRE HATHAWAY INC,Shaw Communications Inc Class B,SJR,2002-12-31,SH,44000000.0,226160000.0,44000000.0,183040000.0,0.8,0.6622,17,15,0.0,,COMMUNICATIONS,5567
BERKSHIRE HATHAWAY INC,GATX Corporation (General American Tank - General American Transportation),GATX,2002-12-31,SH,7340700.0,167515000.0,7340700.0,145346000.0,0.5926,0.5258,18,19,0.0,,INDUSTRIALS,5089
BERKSHIRE HATHAWAY INC,Great Lakes Chemical Co.,GLK,2002-12-31,SH,6948700.0,165935000.0,6948700.0,166908000.0,0.587,0.6038,19,17,0.0,,MATERIALS,107164
BERKSHIRE HATHAWAY INC,Costco Co.,COST,2002-12-31,SH,5254000.0,147427000.0,5606409.0,181479000.0,0.5215,0.6566,20,16,-6.285824,reduction,CONSUMER STAPLES,393
BERKSHIRE HATHAWAY INC,Dover Corp.,DOV,2002-12-31,SH,4952000.0,116640000.0,3069249.6,62922000.0,0.4126,0.2276,21,23,61.342369,addition,INDUSTRIALS,293
BERKSHIRE HATHAWAY INC,Comdisco Holding Co. Inc. (New),CDCO,2002-12-31,SH,1452549.0,113299000.0,0.0,0.0,0.4008,,22,999999,,new,INDUSTRIALS,10681
BERKSHIRE HATHAWAY INC,Sealed Air Corp.,SEE,2002-12-31,SH,4985600.0,92981000.0,4985600.0,42103000.0,0.3289,0.1523,23,26,0.0,,MATERIALS,3662
BERKSHIRE HATHAWAY INC,Globe Life Inc,GL,2002-12-31,SH,4360902.75,70802000.0,4665289.5,71037000.0,0.2504,0.257,24,21,-6.524499,reduction,FINANCE,3707
BERKSHIRE HATHAWAY INC,Mueller Industries Inc,MLI,2002-12-31,SH,9923600.0,67605000.0,9923600.0,64255000.0,0.2391,0.2325,25,22,0.0,,INDUSTRIALS,5225
BERKSHIRE HATHAWAY INC,OSI Restaurant Partners Inc.,OSI,2002-12-31,SH,1867500.0,64317000.0,1867500.0,51319000.0,0.2275,0.1857,26,24,0.0,,CONSUMER DISCRETIONARY,103748
