Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector,stock_id
BERKSHIRE HATHAWAY INC,Apple Inc,AAPL,2022-03-31,SH,890923410.0,155564138000.0,887135554.0,157528660000.0,42.7899,47.5985,1,1,0.426976,addition,INFORMATION TECHNOLOGY,195
BERKSHIRE HATHAWAY INC,Bank of America Corp. (North Carolina National Bank),BAC,2022-03-31,SH,1010100606.0,41636348000.0,1010100606.0,44939376000.0,11.4526,13.5788,2,2,0.0,,FINANCE,205
BERKSHIRE HATHAWAY INC,American Express Co,AXP,2022-03-31,SH,151610700.0,28351201000.0,151610700.0,24803511000.0,7.7984,7.4946,3,3,0.0,,FINANCE,368
BERKSHIRE HATHAWAY INC,Chevron Corp. (Standard Oil of California),CVX,2022-03-31,SH,159178117.0,25918973000.0,38245036.0,4488055000.0,7.1293,1.3561,4,9,316.205954,addition,ENERGY,214
BERKSHIRE HATHAWAY INC,Coca Cola Co.,KO,2022-03-31,SH,400000000.0,24799999000.0,400000000.0,23684001000.0,6.8216,7.1563,5,4,0.0,,CONSUMER STAPLES,386
BERKSHIRE HATHAWAY INC,Kraft Heinz Co. (The),KHC,2022-03-31,SH,325634818.0,12826755000.0,325634818.0,11690290000.0,3.5282,3.5323,6,5,0.0,,CONSUMER STAPLES,178038
BERKSHIRE HATHAWAY INC,Moodys Corp,MCO,2022-03-31,SH,24669778.0,8323829000.0,24669778.0,9635522000.0,2.2896,2.9114,7,6,0.0,,FINANCE,2707
BERKSHIRE HATHAWAY INC,Occidental Petroleum Corp.,OXY,2022-03-31,SH,136373000.0,7737804000.0,0.0,0.0,2.1284,,8,999999,,new,ENERGY,442
BERKSHIRE HATHAWAY INC,U.S. Bancorp (First National Bank of Cincinnati),USB,2022-03-31,SH,126417887.0,6719111000.0,126417887.0,7100894000.0,1.8482,2.1456,9,8,0.0,,FINANCE,471
BERKSHIRE HATHAWAY INC,Activision Blizzard Inc,ATVI,2022-03-31,SH,64315222.0,5152292000.0,14658121.0,975205000.0,1.4172,0.2947,10,24,338.76853,addition,INFORMATION TECHNOLOGY,11336
BERKSHIRE HATHAWAY INC,Davita Inc.,DVA,2022-03-31,SH,36095570.0,4082770000.0,36095570.0,4106232000.0,1.123,1.2407,11,11,0.0,,HEALTH CARE,3395
BERKSHIRE HATHAWAY INC,HP Inc,HPQ,2022-03-31,SH,104476035.0,3792480000.0,0.0,0.0,1.0432,,12,999999,,new,INFORMATION TECHNOLOGY,234
BERKSHIRE HATHAWAY INC,Bank Of New York Mellon Corp,BK,2022-03-31,SH,72357453.0,3591100000.0,72357453.0,4202522000.0,0.9878,1.2698,13,10,0.0,,FINANCE,2534
BERKSHIRE HATHAWAY INC,Kroger Co.,KR,2022-03-31,SH,57985263.0,3326615000.0,61412910.0,2779549000.0,0.915,0.8399,14,14,-5.581313,reduction,CONSUMER STAPLES,677
BERKSHIRE HATHAWAY INC,Citigroup Inc.,C,2022-03-31,SH,55155797.0,2945319000.0,0.0,0.0,0.8101,,15,999999,,new,FINANCE,216
BERKSHIRE HATHAWAY INC,VeriSign Inc.,VRSN,2022-03-31,SH,12815613.0,2850961000.0,12815613.0,3252859000.0,0.7842,0.9829,16,13,0.0,,COMMUNICATIONS,960
BERKSHIRE HATHAWAY INC,General Motors Co,GM,2022-03-31,SH,62045847.0,2713886000.0,60000000.0,3517800000.0,0.7465,1.0629,17,12,3.409745,addition,CONSUMER DISCRETIONARY,107357
