Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector,stock_id
CHILTON INVESTMENT COMPANY INC.,Grace (W.R.) & Co. (DE),GRA,2014-09-30,SH,2040940.0,185603000.0,1754681.0,165870000.0,6.2347,6.6884,1,1,16.314019,addition,MATERIALS,881
CHILTON INVESTMENT COMPANY INC.,Sherwin-Williams Co.,SHW,2014-09-30,SH,1337799.0,97655000.0,1212690.0,83639000.0,3.2804,3.3726,2,2,10.316651,addition,MATERIALS,11358
CHILTON INVESTMENT COMPANY INC.,Union Pacific Corp.,UNP,2014-09-30,SH,774156.0,83934000.0,711218.0,70944000.0,2.8195,2.8607,3,3,8.849326,addition,TRANSPORTS,473
CHILTON INVESTMENT COMPANY INC.,FedEx Corporation,FDX,2014-09-30,SH,469431.0,75789000.0,395341.0,59847000.0,2.5459,2.4132,4,9,18.740783,addition,TRANSPORTS,485
CHILTON INVESTMENT COMPANY INC.,Mastercard Inc,MA,2014-09-30,SH,1025258.0,75787000.0,869193.0,63859000.0,2.5458,2.575,5,5,17.955161,addition,FINANCE,4044
CHILTON INVESTMENT COMPANY INC.,United Parcel Service Inc. Class B,UPS,2014-09-30,SH,725459.0,71306000.0,548087.0,56267000.0,2.3953,2.2689,6,12,32.362016,addition,TRANSPORTS,3795
CHILTON INVESTMENT COMPANY INC.,Costco Co.,COST,2014-09-30,SH,562853.0,70537000.0,470093.0,54136000.0,2.3694,2.1829,7,13,19.732266,addition,CONSUMER STAPLES,393
CHILTON INVESTMENT COMPANY INC.,Home Depot Inc. (The),HD,2014-09-30,SH,762973.0,69995000.0,536405.0,43428000.0,2.3512,1.7512,8,25,42.238234,addition,CONSUMER DISCRETIONARY,354
CHILTON INVESTMENT COMPANY INC.,Wyndham Destinations Inc,TNL,2014-09-30,SH,850751.0,69132000.0,789458.0,59778000.0,2.3222,2.4104,9,10,7.763934,addition,CONSUMER DISCRETIONARY,1078
CHILTON INVESTMENT COMPANY INC.,Ecolab Inc.,ECL,2014-09-30,SH,600595.0,68966000.0,463655.0,51623000.0,2.3167,2.0816,10,16,29.534891,addition,MATERIALS,11345
CHILTON INVESTMENT COMPANY INC.,Moodys Corp,MCO,2014-09-30,SH,726263.0,68632000.0,565267.0,49552000.0,2.3054,1.9981,11,19,28.481408,addition,FINANCE,2707
CHILTON INVESTMENT COMPANY INC.,Walt Disney Co. (The),DIS,2014-09-30,SH,764424.0,68056000.0,627094.0,53767000.0,2.2861,2.1681,12,15,21.899428,addition,COMMUNICATIONS,395
CHILTON INVESTMENT COMPANY INC.,Allergan Plc,AGN,2014-09-30,SH,276496.0,66713000.0,0.0,0.0,2.241,,13,999999,,new,HEALTH CARE,138708
CHILTON INVESTMENT COMPANY INC.,Dominos Pizza Inc,DPZ,2014-09-30,SH,838089.0,64499000.0,821959.0,60077000.0,2.1666,2.4225,14,8,1.962385,addition,CONSUMER DISCRETIONARY,776
CHILTON INVESTMENT COMPANY INC.,Fortune Brands Innovations Inc,FBIN,2014-09-30,SH,1560484.0,64152000.0,1098546.0,43865000.0,2.155,1.7688,15,24,42.049946,addition,CONSUMER DISCRETIONARY,114466
CHILTON INVESTMENT COMPANY INC.,Anheuser-Busch Inbev SA ADR,BUD,2014-09-30,SH,547539.0,60695000.0,314364.0,36133000.0,2.0388,1.457,16,30,74.173569,addition,CONSUMER STAPLES,372
CHILTON INVESTMENT COMPANY INC.,Brown-Forman Corp. Class B,BF.B,2014-09-30,SH,1679502.5,60610000.0,1645682.5,61989000.0,2.036,2.4996,17,6,2.055074,addition,CONSUMER STAPLES,5058
CHILTON INVESTMENT COMPANY INC.,Medtronic Plc,MDT,2014-09-30,SH,972432.0,60242000.0,0.0,0.0,2.0236,,18,999999,,new,HEALTH CARE,297
CHILTON INVESTMENT COMPANY INC.,Nielsen N.V.,NLSN,2014-09-30,SH,1333470.0,59113000.0,801827.0,38817000.0,1.9857,1.5652,19,27,66.303953,addition,COMMUNICATIONS,109936
CHILTON INVESTMENT COMPANY INC.,Wells Fargo & Co.  (Northwest Bancorporation),WFC,2014-09-30,SH,1123804.0,58292000.0,1072079.0,56348000.0,1.9581,2.2721,20,11,4.824738,addition,FINANCE,309
CHILTON INVESTMENT COMPANY INC.,Diageo Plc ADR,DEO,2014-09-30,SH,501062.0,57823000.0,364635.0,46407000.0,1.9424,1.8713,21,21,37.414675,addition,CONSUMER STAPLES,4107
CHILTON INVESTMENT COMPANY INC.,Tiffany & Co. (DE),TIF,2014-09-30,SH,598151.0,57608000.0,465215.0,46637000.0,1.9351,1.8806,22,20,28.575175,addition,CONSUMER DISCRETIONARY,3676
CHILTON INVESTMENT COMPANY INC.,TransDigm Group Inc,TDG,2014-09-30,SH,298159.0,54960000.0,165670.0,27710000.0,1.8462,1.1174,23,39,79.97163,addition,INDUSTRIALS,2714
CHILTON INVESTMENT COMPANY INC.,Toro Co,TTC,2014-09-30,SH,1851500.0,54833000.0,1697280.0,53974000.0,1.8419,2.1764,24,14,9.086303,addition,INDUSTRIALS,5034
CHILTON INVESTMENT COMPANY INC.,Pall Corp.,PLL,2014-09-30,SH,641839.0,53722000.0,453737.0,38744000.0,1.8046,1.5623,25,28,41.456174,addition,INDUSTRIALS,447
CHILTON INVESTMENT COMPANY INC.,Paramount Global,PARA,2014-09-30,SH,875903.0,46861000.0,823091.0,51147000.0,1.5741,2.0624,26,18,6.416301,addition,COMMUNICATIONS,2509
CHILTON INVESTMENT COMPANY INC.,Timken (Roller Bearing Axle) Co.,TKR,2014-09-30,SH,1097454.0,46521000.0,892911.0,60575000.0,1.5627,2.4426,27,7,22.907434,addition,INDUSTRIALS,11404
CHILTON INVESTMENT COMPANY INC.,Becton Dickinson and Co.,BDX,2014-09-30,SH,374075.8,41535000.0,347477.05,40104000.0,1.3952,1.6171,28,26,7.654822,addition,HEALTH CARE,4305
CHILTON INVESTMENT COMPANY INC.,Wynn Resorts Ltd,WYNN,2014-09-30,SH,198926.0,37215000.0,0.0,0.0,1.2501,,29,999999,,new,CONSUMER DISCRETIONARY,839
CHILTON INVESTMENT COMPANY INC.,EOG Resources Inc,EOG,2014-09-30,SH,365728.0,36214000.0,393002.0,45926000.0,1.2165,1.8519,30,22,-6.939914,reduction,ENERGY,4870
CHILTON INVESTMENT COMPANY INC.,Booking Holdings Inc. (Priceline),BKNG,2014-09-30,SH,30558.0,35403000.0,0.0,0.0,1.1892,,31,999999,,new,CONSUMER DISCRETIONARY,4288
CHILTON INVESTMENT COMPANY INC.,Signet Jewelers Ltd,SIG,2014-09-30,SH,304976.0,34740000.0,400568.0,44299000.0,1.167,1.7863,32,23,-23.864113,reduction,CONSUMER DISCRETIONARY,8531
CHILTON INVESTMENT COMPANY INC.,FleetCor Technologies Inc,FLT,2014-09-30,SH,230380.0,32741000.0,62130.0,8189000.0,1.0998,0.3302,33,63,270.803155,addition,INFORMATION TECHNOLOGY,106914
CHILTON INVESTMENT COMPANY INC.,Thermo Fisher Scientific Inc.,TMO,2014-09-30,SH,259241.0,31549000.0,0.0,0.0,1.0598,,34,999999,,new,HEALTH CARE,468
CHILTON INVESTMENT COMPANY INC.,Lazard Inc.,LAZ,2014-09-30,SH,619836.0,31425000.0,658048.0,33929000.0,1.0556,1.3681,35,32,-5.806871,reduction,FINANCE,6025
CHILTON INVESTMENT COMPANY INC.,Buffalo Wild Wings Inc,BWLD,2014-09-30,SH,228193.0,30640000.0,0.0,0.0,1.0292,,36,999999,,new,CONSUMER DISCRETIONARY,2727
CHILTON INVESTMENT COMPANY INC.,Halliburton Co.,HAL,2014-09-30,SH,457408.0,29507000.0,449072.0,31889000.0,0.9912,1.2859,37,36,1.856272,addition,ENERGY,411
CHILTON INVESTMENT COMPANY INC.,Pioneer Natural Resources Co.,PXD,2014-09-30,SH,146895.0,28934000.0,162853.0,37425000.0,0.9719,1.5091,38,29,-9.799021,reduction,ENERGY,2612
CHILTON INVESTMENT COMPANY INC.,Schlumberger Ltd.,SLB,2014-09-30,SH,281779.0,28654000.0,284414.0,33547000.0,0.9625,1.3527,39,34,-0.926466,reduction,ENERGY,276
CHILTON INVESTMENT COMPANY INC.,McDonalds Corp.,MCD,2014-09-30,SH,300747.0,28513000.0,19687.0,1983000.0,0.9578,0.08,40,83,1427.642607,addition,CONSUMER DISCRETIONARY,250
CHILTON INVESTMENT COMPANY INC.,Baker Hughes Company,BKR,2014-09-30,SH,418505.0,27228000.0,427242.0,31808000.0,0.9146,1.2826,41,37,-2.044977,reduction,ENERGY,2502
CHILTON INVESTMENT COMPANY INC.,Southern Copper Corp.,SCCO,2014-09-30,SH,825043.0,24463000.0,847268.0,25732000.0,0.8217,1.0376,42,41,-2.623137,reduction,MATERIALS,87972
CHILTON INVESTMENT COMPANY INC.,Southwestern Energy Co.,SWN,2014-09-30,SH,690128.0,24120000.0,706939.0,32159000.0,0.8102,1.2968,43,35,-2.377999,reduction,ENERGY,3900
CHILTON INVESTMENT COMPANY INC.,Colgate-Palmolive Co.,CL,2014-09-30,SH,365338.0,23827000.0,465246.0,31720000.0,0.8004,1.2791,44,38,-21.474231,reduction,CONSUMER STAPLES,217
CHILTON INVESTMENT COMPANY INC.,Best Buy Co. Inc.,BBY,2014-09-30,SH,683768.0,22968000.0,0.0,0.0,0.7715,,45,999999,,new,CONSUMER DISCRETIONARY,208
CHILTON INVESTMENT COMPANY INC.,Freeport-McMoRan Copper & Gold Inc,FCX,2014-09-30,SH,642985.0,20993000.0,656247.0,23953000.0,0.7052,0.9659,46,42,-2.020885,reduction,MATERIALS,652
CHILTON INVESTMENT COMPANY INC.,Range Resources Corp.,RRC,2014-09-30,SH,297572.0,20178000.0,305987.0,26606000.0,0.6778,1.0728,47,40,-2.750117,reduction,ENERGY,3656
CHILTON INVESTMENT COMPANY INC.,Coterra Energy Inc,CTRA,2014-09-30,SH,615290.0,20114000.0,632435.0,21591000.0,0.6757,0.8706,48,44,-2.710951,reduction,ENERGY,2765
CHILTON INVESTMENT COMPANY INC.,AutoZone Inc.,AZO,2014-09-30,SH,39095.0,19925000.0,0.0,0.0,0.6693,,49,999999,,new,CONSUMER DISCRETIONARY,2609
CHILTON INVESTMENT COMPANY INC.,Fluor Corp.,FLR,2014-09-30,SH,274561.0,18338000.0,282711.0,21740000.0,0.616,0.8766,50,43,-2.882803,reduction,INDUSTRIALS,407
CHILTON INVESTMENT COMPANY INC.,Walmart Inc,WMT,2014-09-30,SH,625404.0,15942000.0,1439478.0,36021000.0,0.5355,1.4525,51,31,-56.553417,reduction,CONSUMER STAPLES,345
CHILTON INVESTMENT COMPANY INC.,Mosaic Company (The),MOS,2014-09-30,SH,353511.0,15699000.0,366052.0,18101000.0,0.5274,0.7299,52,45,-3.426016,reduction,MATERIALS,11443
CHILTON INVESTMENT COMPANY INC.,Coca Cola Co.,KO,2014-09-30,SH,353003.0,15059000.0,131684.0,5578000.0,0.5059,0.2249,53,73,168.068254,addition,CONSUMER STAPLES,386
CHILTON INVESTMENT COMPANY INC.,Covidien plc,COV,2014-09-30,SH,170280.0,14731000.0,0.0,0.0,0.4948,,54,999999,,new,HEALTH CARE,2838
CHILTON INVESTMENT COMPANY INC.,Helmerich & Payne Inc.,HP,2014-09-30,SH,149996.0,14680000.0,153189.0,17787000.0,0.4931,0.7172,55,46,-2.084353,reduction,ENERGY,5001
CHILTON INVESTMENT COMPANY INC.,Liberty Global plc Class A,LBTYA,2014-09-30,SH,342074.0,14552000.0,0.0,0.0,0.4888,,56,999999,,new,COMMUNICATIONS,4042
CHILTON INVESTMENT COMPANY INC.,Flowserve Corporation,FLS,2014-09-30,SH,186314.0,13139000.0,58427.0,4344000.0,0.4414,0.1752,57,77,218.883393,addition,INDUSTRIALS,9
CHILTON INVESTMENT COMPANY INC.,Gulfport Energy Corp,GPORQ,2014-09-30,SH,245871.0,13130000.0,251502.0,15794000.0,0.4411,0.6369,58,49,-2.238948,reduction,ENERGY,6156
CHILTON INVESTMENT COMPANY INC.,BTC iShares Silver Trust,SLV,2014-09-30,SH,798461.0,13055000.0,815148.0,16507000.0,0.4385,0.6656,59,48,-2.047113,reduction,FINANCE,5927
CHILTON INVESTMENT COMPANY INC.,CST Brands Inc,CST,2014-09-30,SH,336043.0,12081000.0,979109.0,33779000.0,0.4058,1.3621,60,33,-65.678694,reduction,CONSUMER DISCRETIONARY,140176
CHILTON INVESTMENT COMPANY INC.,Paramount Global,PARA,2014-09-30,CALL,200000.0,10700000.0,0.0,0.0,0.3594,,61,999999,,new,COMMUNICATIONS,2509
CHILTON INVESTMENT COMPANY INC.,Concho Resources Inc,CXO,2014-09-30,SH,85212.0,10685000.0,87260.0,12609000.0,0.3589,0.5084,62,53,-2.347009,reduction,ENERGY,6018
CHILTON INVESTMENT COMPANY INC.,Suncor Energy Inc.,SU,2014-09-30,SH,279420.0,10101000.0,285050.0,12152000.0,0.3393,0.49,63,54,-1.975092,reduction,ENERGY,127
CHILTON INVESTMENT COMPANY INC.,Goldman Sachs Group Inc,GS,2014-09-30,PUT,55000.0,10096000.0,0.0,0.0,0.3391,,64,999999,,new,FINANCE,232
CHILTON INVESTMENT COMPANY INC.,Nov Inc,NOV,2014-09-30,SH,130677.0,9945000.0,135320.0,11144000.0,0.3341,0.4494,65,59,-3.431126,reduction,ENERGY,17
CHILTON INVESTMENT COMPANY INC.,Antero Resources Corp,AR,2014-09-30,SH,173954.0,9548000.0,180181.0,11825000.0,0.3207,0.4768,66,56,-3.455969,reduction,ENERGY,162818
CHILTON INVESTMENT COMPANY INC.,Diamondback Energy Inc,FANG,2014-09-30,SH,126842.0,9485000.0,130489.0,11587000.0,0.3186,0.4672,67,58,-2.794872,reduction,ENERGY,131984
CHILTON INVESTMENT COMPANY INC.,EQT Corporation (Equitable Gas Co.),EQT,2014-09-30,SH,94999.0,8696000.0,99644.0,10652000.0,0.2921,0.4295,68,60,-4.661595,reduction,UTILITIES AND TELECOMMUNICATIONS,3739
CHILTON INVESTMENT COMPANY INC.,MSC Industrial Direct Inc.,MSM,2014-09-30,SH,101341.0,8661000.0,135169.0,12928000.0,0.2909,0.5213,69,52,-25.026448,reduction,INDUSTRIALS,5127
CHILTON INVESTMENT COMPANY INC.,Monsanto Co. (New),MON,2014-09-30,SH,73857.0,8310000.0,76521.0,9545000.0,0.2791,0.3849,70,61,-3.481397,reduction,MATERIALS,16
CHILTON INVESTMENT COMPANY INC.,Gartner Inc.,IT,2014-09-30,SH,112744.0,8283000.0,113041.0,7972000.0,0.2782,0.3215,71,65,-0.262737,reduction,INFORMATION TECHNOLOGY,3868
CHILTON INVESTMENT COMPANY INC.,Kansas City Southern Industries Inc.,KSU,2014-09-30,SH,61118.0,7408000.0,61324.0,6593000.0,0.2488,0.2659,72,68,-0.335921,reduction,TRANSPORTS,4957
CHILTON INVESTMENT COMPANY INC.,Airgas Inc.,ARG,2014-09-30,SH,64801.0,7170000.0,127011.0,13832000.0,0.2408,0.5578,73,51,-48.98001,reduction,MATERIALS,5042
CHILTON INVESTMENT COMPANY INC.,Bausch Health Companies,BHC,2014-09-30,SH,54509.0,7152000.0,10745.0,1355000.0,0.2402,0.0546,74,87,407.296417,addition,HEALTH CARE,5185
CHILTON INVESTMENT COMPANY INC.,Athlon Energy Inc.,ATHL,2014-09-30,SH,118988.0,6929000.0,246540.0,11760000.0,0.2328,0.4742,75,57,-51.736838,reduction,ENERGY,161714
CHILTON INVESTMENT COMPANY INC.,Dollar Tree Inc.,DLTR,2014-09-30,SH,122016.0,6841000.0,220691.0,12019000.0,0.2298,0.4846,76,55,-44.711837,reduction,CONSUMER DISCRETIONARY,2640
CHILTON INVESTMENT COMPANY INC.,Hunt (J.B.) Transport Services Inc.,JBHT,2014-09-30,SH,90935.0,6733000.0,210440.0,15526000.0,0.2262,0.6261,77,50,-56.788158,reduction,TRANSPORTS,5103
CHILTON INVESTMENT COMPANY INC.,NOW Inc,DNOW,2014-09-30,SH,221048.0,6722000.0,229033.0,8293000.0,0.2258,0.3344,78,62,-3.486397,reduction,ENERGY,168398
CHILTON INVESTMENT COMPANY INC.,Best Buy Co. Inc.,BBY,2014-09-30,CALL,200000.0,6718000.0,0.0,0.0,0.2257,,79,999999,,new,CONSUMER DISCRETIONARY,208
CHILTON INVESTMENT COMPANY INC.,Nutrien Ltd,NTR,2014-09-30,SH,176650.0,6105000.0,182919.0,6944000.0,0.2051,0.28,80,67,-3.4272,reduction,MATERIALS,267
