Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector,stock_id
COOPERMAN LEON G,Elevance Health Inc,ELV,2006-03-31,SH,2040400.0,157998000.0,2025400.0,161607000.0,4.228,4.6288,1,2,0.740594,addition,HEALTH CARE,175259
COOPERMAN LEON G,Johnson Controls International plc (Tyco Laboratories),JCI,2006-03-31,SH,2818501.29,157740000.0,2883292.86,173252000.0,4.2211,4.9623,2,1,-2.247138,reduction,INDUSTRIALS,2837
COOPERMAN LEON G,Transocean Ltd,RIG,2006-03-31,SH,1891300.0,151871000.0,1795300.0,125114000.0,4.064,3.5835,3,3,5.347296,addition,ENERGY,4160
COOPERMAN LEON G,Autoliv Inc,ALV,2006-03-31,SH,3338972.8,136109000.0,3694856.0,120908000.0,3.6422,3.4631,4,4,-9.631856,reduction,CONSUMER DISCRETIONARY,6313
COOPERMAN LEON G,American International Group Inc.,AIG,2006-03-31,SH,81421.85,107623000.0,67766.85,92475000.0,2.8799,2.6487,5,7,20.14997,addition,FINANCE,193
COOPERMAN LEON G,Paramount Global,PARA,2006-03-31,SH,3434900.0,99860000.0,2713400.0,82898000.0,2.6722,2.3744,6,9,26.590256,addition,COMMUNICATIONS,2509
COOPERMAN LEON G,Kerr-McGee Corp.,KMG,2006-03-31,SH,2074738.0,99048000.0,1948738.0,88531000.0,2.6505,2.5357,7,8,6.465723,addition,ENERGY,102229
COOPERMAN LEON G,Mirant Corp. (New),MIRKQ,2006-03-31,SH,3849764.0,96244000.0,0.0,0.0,2.5754,,8,999999,,new,UTILITIES AND TELECOMMUNICATIONS,887
COOPERMAN LEON G,Guidant Corp,GDT,2006-03-31,SH,1177600.0,91923000.0,596100.0,38597000.0,2.4598,1.1055,9,35,97.550747,addition,HEALTH CARE,100971
COOPERMAN LEON G,21st Century Fox Inc. Class B,TFCF,2006-03-31,SH,5369500.0,89187000.0,4832300.0,75142000.0,2.3866,2.1522,10,13,11.116859,addition,COMMUNICATIONS,4047
COOPERMAN LEON G,Dish Network Corp Class A,DISH,2006-03-31,SH,2918700.0,87182000.0,2439800.0,66289000.0,2.333,1.8987,11,15,19.628658,addition,COMMUNICATIONS,8397
COOPERMAN LEON G,Bank of America Corp. (North Carolina National Bank),BAC,2006-03-31,SH,1909702.0,86968000.0,463500.0,21391000.0,2.3272,0.6127,12,51,312.017691,addition,FINANCE,205
COOPERMAN LEON G,Deere & Co.,DE,2006-03-31,SH,2107800.0,83311000.0,1899600.0,64691000.0,2.2294,1.8529,13,17,10.960202,addition,INDUSTRIALS,222
COOPERMAN LEON G,TXU Corp.,TXU,2006-03-31,SH,1671500.0,74816000.0,2064800.0,103632000.0,2.002,2.9682,14,6,-19.04785,reduction,UTILITIES AND TELECOMMUNICATIONS,97257
COOPERMAN LEON G,SPDR SSGA Aggressive Global Allocation ETF-SPDR SSGA Aggressive Global Allocation ETF,AGRA,2006-03-31,SH,4325900.0,65062000.0,3360600.0,43352000.0,1.741,1.2417,15,32,28.724037,addition,INFORMATION TECHNOLOGY,97424
COOPERMAN LEON G,Light & Wonder Inc,LNW,2006-03-31,SH,1840800.0,64667000.0,2422600.0,66089000.0,1.7305,1.8929,16,16,-24.015521,reduction,INDUSTRIALS,4002
COOPERMAN LEON G,TotalEnergies SE,TTE,2006-03-31,SH,473200.0,62335000.0,460500.0,58207000.0,1.6681,1.6672,17,22,2.757872,addition,ENERGY,4389
COOPERMAN LEON G,CNX Resources Corporation,CNX,2006-03-31,SH,828400.0,61434000.0,630800.0,41116000.0,1.6439,1.1776,18,34,31.325301,addition,ENERGY,1030
COOPERMAN LEON G,Service Corp. International Inc.,SCI,2006-03-31,SH,7849600.0,61227000.0,7110300.0,58162000.0,1.6384,1.6659,19,23,10.397592,addition,CONSUMER DISCRETIONARY,714
COOPERMAN LEON G,DuPont de Nemours Inc.,DD,2006-03-31,SH,707238.0,60770000.0,391513.5,36309000.0,1.6262,1.04,20,39,80.642047,addition,MATERIALS,225
COOPERMAN LEON G,COMCAST CORP SPL A (NEW),CMCSK,2006-03-31,SH,3123300.0,54387000.0,1324350.0,22682000.0,1.4554,0.6497,21,49,135.836448,addition,CONSUMER DISCRETIONARY,2829
COOPERMAN LEON G,McDonalds Corp.,MCD,2006-03-31,SH,1564500.0,53756000.0,3389700.0,114301000.0,1.4385,3.2738,22,5,-53.845473,reduction,CONSUMER DISCRETIONARY,250
COOPERMAN LEON G,Bread Financial Holdings Inc,BFH,2006-03-31,SH,1121600.0,52457000.0,1379600.0,49114000.0,1.4037,1.4067,23,28,-18.701073,reduction,INFORMATION TECHNOLOGY,3569
COOPERMAN LEON G,Advanced Medical Optics Inc.,EYE,2006-03-31,SH,1079100.0,50329000.0,1068000.0,44642000.0,1.3468,1.2786,24,31,1.039326,addition,HEALTH CARE,747
COOPERMAN LEON G,Shire Plc ADS,SHPG,2006-03-31,SH,1077100.0,50074000.0,250000.0,9698000.0,1.34,0.2778,25,72,330.84,addition,HEALTH CARE,4912
COOPERMAN LEON G,Kindred Healthcare Inc,KND,2006-03-31,SH,1954100.0,49146000.0,1639700.0,42239000.0,1.3151,1.2098,26,33,19.174239,addition,HEALTH CARE,45660
COOPERMAN LEON G,Kohls Corp.,KSS,2006-03-31,SH,924500.0,49008000.0,1082400.0,52605000.0,1.3114,1.5067,27,26,-14.587953,reduction,CONSUMER DISCRETIONARY,526
COOPERMAN LEON G,Cameco Corp.,CCJ,2006-03-31,SH,1340400.0,48254000.0,1630800.0,51688000.0,1.2913,1.4805,28,27,-17.807211,reduction,ENERGY,156
COOPERMAN LEON G,CNO Financial Group Inc,CNO,2006-03-31,SH,1926300.0,47811000.0,2704700.0,62668000.0,1.2794,1.7949,29,19,-28.779532,reduction,FINANCE,4077
COOPERMAN LEON G,Bed Bath & Beyond Inc.,BBBYQ,2006-03-31,SH,1218000.0,46771000.0,0.0,0.0,1.2516,,30,999999,,new,CONSUMER DISCRETIONARY,755
COOPERMAN LEON G,Freddie Mac (Federal Home Loan Mortgage Corp.),FMCC,2006-03-31,SH,736600.0,44933000.0,1241800.0,81152000.0,1.2024,2.3244,31,11,-40.68288,reduction,FINANCE,2416
COOPERMAN LEON G,Companhia Vale Do Rio Doce PRFD,RIO-P1,2006-03-31,SH,998400.0,43161000.0,0.0,0.0,1.155,,32,999999,,new, ,4104
COOPERMAN LEON G,Microsoft Corp.,MSFT,2006-03-31,SH,1526400.0,41533000.0,3107100.0,81251000.0,1.1114,2.3272,33,10,-50.873805,reduction,INFORMATION TECHNOLOGY,178
COOPERMAN LEON G,Atlas Energy LP,ATLS,2006-03-31,SH,856772.0,40962000.0,615008.0,37036000.0,1.0961,1.0608,34,38,39.310708,addition,ENERGY,5446
COOPERMAN LEON G,Spirit Finance Corp.,SFC,2006-03-31,SH,3350800.0,40880000.0,4144600.0,47041000.0,1.0939,1.3474,35,29,-19.152632,reduction,FINANCE,104929
COOPERMAN LEON G,Omnicare Inc.,OCR,2006-03-31,SH,742500.0,40830000.0,0.0,0.0,1.0926,,36,999999,,new,HEALTH CARE,2424
COOPERMAN LEON G,Altria Group Inc. (Philip Morris),MO,2006-03-31,SH,567800.0,40234000.0,762700.0,56989000.0,1.0766,1.6323,37,24,-25.553953,reduction,CONSUMER STAPLES,191
COOPERMAN LEON G,Scottish Re Group Ltd. Ordinary,SKRRF,2006-03-31,SH,1561600.0,38743000.0,1526000.0,37463000.0,1.0367,1.073,38,37,2.332896,addition,FINANCE,105073
COOPERMAN LEON G,Federated Department Stores Inc,fds,2006-03-31,SH,483100.0,35266000.0,0.0,0.0,0.9437,,39,999999,,new, ,107150
COOPERMAN LEON G,3M Co. (Minnesota Mining & Manufacturing),MMM,2006-03-31,SH,453000.0,34288000.0,0.0,0.0,0.9175,,40,999999,,new,INDUSTRIALS,188
COOPERMAN LEON G,Halliburton Co.,HAL,2006-03-31,SH,876200.0,31990000.0,0.0,0.0,0.856,,41,999999,,new,ENERGY,411
COOPERMAN LEON G,Hilton Hotels Corp.,HLT,2006-03-31,SH,1234700.0,31435000.0,2296000.0,55357000.0,0.8412,1.5855,42,25,-46.223868,reduction,CONSUMER DISCRETIONARY,97330
COOPERMAN LEON G,Axis Capital Holdings Ltd,AXS,2006-03-31,SH,1040900.0,31123000.0,590500.0,18471000.0,0.8328,0.529,43,57,76.274344,addition,FINANCE,5676
COOPERMAN LEON G,NTL Inc. (New),NTLI,2006-03-31,SH,1055300.0,30720000.0,0.0,0.0,0.8221,,44,999999,,new,CONSUMER DISCRETIONARY,103474
COOPERMAN LEON G,Walmart Inc,WMT,2006-03-31,SH,1917600.0,30196000.0,63300.0,987000.0,0.808,0.0283,45,91,2929.383886,addition,CONSUMER STAPLES,345
COOPERMAN LEON G,Acres Commercial Realty Corp,ACR,2006-03-31,SH,176554.59,29198000.0,0.0,0.0,0.7813,,46,999999,,new,REAL ESTATE,4966
COOPERMAN LEON G,Xerox Corp. (Haloid Co.),XRX,2006-03-31,SH,476625.0,28979000.0,304725.0,17857000.0,0.7755,0.5115,47,59,56.411519,addition,INFORMATION TECHNOLOGY,3685
COOPERMAN LEON G,Nexen Inc,NXY,2006-03-31,SH,1045600.0,28775000.0,821600.0,19566000.0,0.77,0.5604,48,55,27.263875,addition,ENERGY,5553
COOPERMAN LEON G,Time Warner Inc. (New),TWX,2006-03-31,SH,553244.67,27870000.0,1119854.67,58597000.0,0.7458,1.6783,49,21,-50.596744,reduction,COMMUNICATIONS,284
COOPERMAN LEON G,XL Group Plc,XL,2006-03-31,SH,418700.0,26843000.0,294300.0,19830000.0,0.7183,0.568,50,54,42.269793,addition,FINANCE,4930
COOPERMAN LEON G,Petro-Canada,PCZ,2006-03-31,SH,565200.0,26787000.0,2177400.0,29126000.0,0.7168,0.8342,51,46,-74.042436,reduction,ENERGY,5558
COOPERMAN LEON G,Hercules Inc.,HPC,2006-03-31,SH,1836300.0,25341000.0,1760000.0,19888000.0,0.6781,0.5696,52,53,4.335227,addition,MATERIALS,3614
COOPERMAN LEON G,Cardinal Health Inc.,CAH,2006-03-31,SH,339300.0,25285000.0,343800.0,23636000.0,0.6766,0.677,53,48,-1.308901,reduction,HEALTH CARE,292
COOPERMAN LEON G,Yellow Corp,YELLQ,2006-03-31,SH,80.78,23293000.0,0.0,0.0,0.6233,,54,999999,,new,TRANSPORTS,3517
COOPERMAN LEON G,Verizon Communications (Bell Atlantic Corp.),VZ,2006-03-31,SH,664100.0,22619000.0,0.0,0.0,0.6053,,55,999999,,new,UTILITIES AND TELECOMMUNICATIONS,286
COOPERMAN LEON G,Shell Plc,SHEL,2006-03-31,SH,350000.0,21791000.0,995600.0,61219000.0,0.5831,1.7534,56,20,-64.845319,reduction,ENERGY,4172
COOPERMAN LEON G,E*Trade Financial Corp.,ETFC,2006-03-31,SH,802100.0,21641000.0,1495500.0,31196000.0,0.5791,0.8935,57,42,-46.365764,reduction,FINANCE,3598
COOPERMAN LEON G,Home Depot Inc. (The),HD,2006-03-31,SH,504000.0,21319000.0,0.0,0.0,0.5705,,58,999999,,new,CONSUMER DISCRETIONARY,354
COOPERMAN LEON G,Resource America Inc Class A,REXI,2006-03-31,SH,1033900.0,20595000.0,1111500.0,18951000.0,0.5511,0.5428,59,56,-6.981556,reduction,FINANCE,11532
COOPERMAN LEON G,CNX Gas Corp.,CXG,2006-03-31,SH,749200.0,19479000.0,0.0,0.0,0.5212,,60,999999,,new,ENERGY,5258
COOPERMAN LEON G,Abercrombie & Fitch Co.,ANF,2006-03-31,SH,300000.0,17490000.0,0.0,0.0,0.468,,61,999999,,new,CONSUMER DISCRETIONARY,4063
COOPERMAN LEON G,Triton International Ltd,TRTN,2006-03-31,SH,710900.0,17140000.0,715100.0,14767000.0,0.4587,0.423,62,67,-0.58733,reduction,INDUSTRIALS,7619
COOPERMAN LEON G,BP Plc ADR (British Petroleum),BP,2006-03-31,SH,237800.0,16394000.0,532600.0,34204000.0,0.4387,0.9797,63,40,-55.351108,reduction,ENERGY,2506
COOPERMAN LEON G,Corporate Executive Board Co. (The),CEB,2006-03-31,SH,157400.0,15882000.0,0.0,0.0,0.425,,64,999999,,new,INDUSTRIALS,770
COOPERMAN LEON G,American Tower Corp. Class A,AMT,2006-03-31,SH,519700.0,15757000.0,804200.0,21794000.0,0.4217,0.6242,65,50,-35.376772,reduction,UTILITIES AND TELECOMMUNICATIONS,4850
COOPERMAN LEON G,Readers Digest Association Class A,RDA,2006-03-31,SH,1052400.0,15523000.0,0.0,0.0,0.4154,,66,999999,,new,CONSUMER DISCRETIONARY,104475
COOPERMAN LEON G,Dollar General Corp. (Old),DG,2006-03-31,SH,850000.0,15020000.0,0.0,0.0,0.4019,,67,999999,,new,CONSUMER DISCRETIONARY,107070
