Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector,stock_id
COOPERMAN LEON G,Transocean Ltd,RIG,2008-09-30,SH,1617447.0,177660000.0,1551447.0,236425008.0,7.7277,6.9865,1,1,4.254093,addition,ENERGY,4160
COOPERMAN LEON G,Atlas Energy LP,ATLS,2008-09-30,SH,3297497.0,112478000.0,3159697.0,142344350.0,4.8925,4.2063,2,3,4.361178,addition,ENERGY,5446
COOPERMAN LEON G,Corning Inc.,GLW,2008-09-30,SH,6520900.0,101987000.0,6246300.0,143977215.0,4.4362,4.2546,3,2,4.396203,addition,MATERIALS,146
COOPERMAN LEON G,UnitedHealth Group Inc.,UNH,2008-09-30,SH,3908000.0,99224000.0,0.0,0.0,4.316,,4,999999,,new,HEALTH CARE,153
COOPERMAN LEON G,Atlas Energy Resources LLC Class B,ATN,2008-09-30,SH,3777127.0,97450000.0,3727627.0,142208970.0,4.2388,4.2023,5,4,1.327923,addition,ENERGY,7775
COOPERMAN LEON G,Atlas Pipeline Partners LP,APL,2008-09-30,SH,3558518.0,90707000.0,2793318.0,109107001.0,3.9455,3.2242,6,9,27.393945,addition,ENERGY,4202
COOPERMAN LEON G,Linn Energy LLC Units,LINEQ,2008-09-30,SH,5666001.0,86690000.0,4902501.0,121827150.0,3.7708,3.6,7,8,15.573684,addition,ENERGY,4203
COOPERMAN LEON G,Elevance Health Inc,ELV,2008-09-30,SH,1841600.0,86132000.0,1966600.0,93728156.0,3.7465,2.7697,8,11,-6.356148,reduction,HEALTH CARE,175259
COOPERMAN LEON G,XL Group Plc,XL,2008-09-30,SH,4778200.0,85721000.0,250000.0,5140000.0,3.7286,0.1519,9,65,1811.28,addition,FINANCE,4930
COOPERMAN LEON G,SLM Corp,SLM,2008-09-30,SH,6034400.0,74465000.0,4211100.0,81484785.0,3.239,2.4079,10,12,43.297476,addition,FINANCE,892
COOPERMAN LEON G,Blackberry Ltd,BB,2008-09-30,SH,1089800.0,74433000.0,1142000.0,133499800.0,3.2376,3.945,11,6,-4.570928,reduction,INFORMATION TECHNOLOGY,21
COOPERMAN LEON G,Nucor Corp. (Nuclear Corp. of America),NUE,2008-09-30,SH,1846800.0,72949000.0,1052600.0,78597642.0,3.1731,2.3226,12,14,75.451264,addition,MATERIALS,2750
COOPERMAN LEON G,Shire Plc ADS,SHPG,2008-09-30,SH,1458300.0,69634000.0,1455500.0,71508715.0,3.0289,2.1131,13,19,0.192374,addition,HEALTH CARE,4912
COOPERMAN LEON G,Teva Pharmaceutical Industries Ltd ADR,TEVA,2008-09-30,SH,1443200.0,66084000.0,1596200.0,73105960.0,2.8745,2.1603,14,18,-9.585265,reduction,HEALTH CARE,3839
COOPERMAN LEON G,AES Corp. (The),AES,2008-09-30,SH,5452100.0,63735000.0,4078600.0,78349906.0,2.7723,2.3153,15,15,33.675771,addition,UTILITIES AND TELECOMMUNICATIONS,860
COOPERMAN LEON G,3M Co. (Minnesota Mining & Manufacturing),MMM,2008-09-30,SH,909100.0,62101000.0,1001600.0,69701344.0,2.7012,2.0597,16,20,-9.235224,reduction,INDUSTRIALS,188
COOPERMAN LEON G,Nokia Corp. ADR Class A ADR,NOK,2008-09-30,SH,2471400.0,46093000.0,3030400.0,74244800.0,2.0049,2.194,17,17,-18.44641,reduction,INFORMATION TECHNOLOGY,4362
COOPERMAN LEON G,Dish Network Corp Class A,DISH,2008-09-30,SH,2051100.0,43073000.0,2253000.0,65967840.0,1.8736,1.9494,18,23,-8.961385,reduction,COMMUNICATIONS,8397
COOPERMAN LEON G,Freeport-McMoRan Copper & Gold Inc,FCX,2008-09-30,SH,1479400.0,42052000.0,316800.0,18562896.0,1.8291,0.5485,19,44,366.982323,addition,MATERIALS,652
COOPERMAN LEON G,Williams Cos. (The),WMB,2008-09-30,SH,1771500.0,41896000.0,3220800.0,129830448.0,1.8224,3.8365,20,7,-44.998137,reduction,ENERGY,532
COOPERMAN LEON G,eBay Inc.,EBAY,2008-09-30,SH,1788900.0,40036000.0,1400000.0,38262000.0,1.7415,1.1307,21,30,27.778571,addition,CONSUMER DISCRETIONARY,399
COOPERMAN LEON G,Halliburton Co.,HAL,2008-09-30,SH,1216200.0,39393000.0,1837200.0,97500204.0,1.7135,2.8812,22,10,-33.801437,reduction,ENERGY,411
COOPERMAN LEON G,Textron Inc.,TXT,2008-09-30,SH,1318900.0,38617000.0,0.0,0.0,1.6797,,23,999999,,new,INDUSTRIALS,467
COOPERMAN LEON G,Boeing Company,BA,2008-09-30,SH,666000.0,38195000.0,1216600.0,79954952.0,1.6614,2.3627,24,13,-45.257274,reduction,INDUSTRIALS,210
COOPERMAN LEON G,CIT Group Inc. (2002),CITGQ,2008-09-30,SH,5205800.0,36232000.0,3836600.0,26127246.0,1.576,0.7721,25,38,35.687849,addition,FINANCE,2415
COOPERMAN LEON G,CVS Health Corp. (Melville Shoe),CVS,2008-09-30,SH,1067429.0,35930000.0,1274429.0,50429156.0,1.5629,1.4902,26,27,-16.242568,reduction,CONSUMER STAPLES,221
COOPERMAN LEON G,Enterprise GP Holdings L.P. Units,EPE,2008-09-30,SH,1433950.0,33741000.0,1396950.0,42020256.0,1.4676,1.2417,27,28,2.648627,addition,ENERGY,7925
COOPERMAN LEON G,Discover Financial Services,DFS,2008-09-30,SH,2330300.0,32205000.0,1469100.0,19348047.0,1.4008,0.5717,28,42,58.620924,addition,FINANCE,4324
