Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector,stock_id
FAIRHOLME CAPITAL MANAGEMENT LLC,Jefferies Financial Group Inc. (Talcott National - Leucadia National),JEF,2004-09-30,SH,13448202.47,227321000.0,13351850.18,198004000.0,25.5981,26.5536,1,1,0.72164,addition,FINANCE,11351
FAIRHOLME CAPITAL MANAGEMENT LLC,Berkshire Hathaway Inc Class A,BRK.A,2004-09-30,SH,2003.0,173560000.0,1999.0,177811000.0,19.5442,23.8456,2,2,0.2001,addition,FINANCE,4161
FAIRHOLME CAPITAL MANAGEMENT LLC,MCI Inc,MCIP,2004-09-30,SH,9179165.0,153751000.0,0.0,0.0,17.3135,,3,999999,,new,COMMUNICATIONS,102700
FAIRHOLME CAPITAL MANAGEMENT LLC,Berkshire Hathaway Inc Class B,BRK.B,2004-09-30,SH,1538050.0,88315000.0,1551450.0,91691000.0,9.9449,12.2963,4,3,-0.863708,reduction,FINANCE,2827
FAIRHOLME CAPITAL MANAGEMENT LLC,Mercury General Corp.,MCY,2004-09-30,SH,1008667.0,53348000.0,1055067.0,52384000.0,6.0074,7.025,5,4,-4.397825,reduction,FINANCE,2835
FAIRHOLME CAPITAL MANAGEMENT LLC,White Mountains Insurance Group Inc,WTM,2004-09-30,SH,95463.0,50214000.0,95313.0,48610000.0,5.6545,6.5189,6,5,0.157376,addition,FINANCE,3460
FAIRHOLME CAPITAL MANAGEMENT LLC,Safety Insurance Group Inc,SAFT,2004-09-30,SH,1238649.0,27535000.0,1238649.0,26532000.0,3.1007,3.5581,7,8,0.0,,FINANCE,2756
FAIRHOLME CAPITAL MANAGEMENT LLC,Markel Corp. (Holding Co.),MKL,2004-09-30,SH,70721.0,21810000.0,146983.0,40788000.0,2.456,5.4699,8,6,-51.884912,reduction,FINANCE,3461
FAIRHOLME CAPITAL MANAGEMENT LLC,Alleghany Corp (NY),Y,2004-09-30,SH,60378.0,16477000.0,108574.0,31161000.0,1.8554,4.1789,9,7,-44.390001,reduction,FINANCE,11373
FAIRHOLME CAPITAL MANAGEMENT LLC,HomeFed Corp.,HOFD,2004-09-30,SH,321272.0,13734000.0,321524.0,10851000.0,1.5466,1.4552,10,10,-0.078377,reduction,REAL ESTATE,10280
FAIRHOLME CAPITAL MANAGEMENT LLC,Gladstone Capital Corp,GLAD,2004-09-30,SH,590604.0,13413000.0,663954.0,13379000.0,1.5104,1.7942,11,9,-11.047452,reduction,FINANCE,7193
FAIRHOLME CAPITAL MANAGEMENT LLC,Wells Fargo & Co.  (Northwest Bancorporation),WFC,2004-09-30,SH,232820.0,6942000.0,234620.0,6714000.0,0.7817,0.9004,12,12,-0.767198,reduction,FINANCE,309
FAIRHOLME CAPITAL MANAGEMENT LLC,Gladstone Commercial Corp,GOOD,2004-09-30,SH,400000.0,6484000.0,400000.0,6600000.0,0.7301,0.8851,13,13,0.0,,REAL ESTATE,5821
FAIRHOLME CAPITAL MANAGEMENT LLC,Duke Energy Corp.,DUK,2004-09-30,SH,79272.07,5444000.0,74269.24,4521000.0,0.613,0.6063,14,15,6.736073,addition,UTILITIES AND TELECOMMUNICATIONS,397
