Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector,stock_id
FAIRHOLME CAPITAL MANAGEMENT LLC,American International Group Inc.,AIG,2010-06-30,SH,32789000.0,1129253000.0,15038100.0,513401000.0,10.5384,4.7967,1,10,118.039513,addition,FINANCE,193
FAIRHOLME CAPITAL MANAGEMENT LLC,Sears Holdings Corp,SHLDQ,2010-06-30,SH,14037171.0,907510000.0,14714071.0,1595458000.0,8.469,14.9062,2,1,-4.600358,reduction,CONSUMER DISCRETIONARY,1061
FAIRHOLME CAPITAL MANAGEMENT LLC,Citigroup Inc.,C,2010-06-30,SH,23732320.0,892335000.0,22746060.0,921215000.0,8.3274,8.6068,3,2,4.33596,addition,FINANCE,216
FAIRHOLME CAPITAL MANAGEMENT LLC,Goldman Sachs Group Inc,GS,2010-06-30,SH,5990601.0,786386000.0,0.0,0.0,7.3387,,4,999999,,new,FINANCE,232
FAIRHOLME CAPITAL MANAGEMENT LLC,Bank of America Corp. (North Carolina National Bank),BAC,2010-06-30,SH,54092500.0,777309000.0,39309900.0,701682000.0,7.254,6.5557,5,6,37.605285,addition,FINANCE,205
FAIRHOLME CAPITAL MANAGEMENT LLC,St. Joe Corp,JOE,2010-06-30,SH,26799155.0,620669000.0,26799155.0,866953000.0,5.7922,8.0999,6,3,0.0,,REAL ESTATE,2602
FAIRHOLME CAPITAL MANAGEMENT LLC,Humana Inc.,HUM,2010-06-30,SH,13105900.0,598546000.0,15798900.0,738915000.0,5.5857,6.9036,7,4,-17.045491,reduction,HEALTH CARE,417
FAIRHOLME CAPITAL MANAGEMENT LLC,Berkshire Hathaway Inc Class A,BRK.A,2010-06-30,SH,3966.0,475920000.0,3700.0,450660000.0,4.4414,4.2105,8,13,7.189189,addition,FINANCE,4161
FAIRHOLME CAPITAL MANAGEMENT LLC,Regions Financial Corp.  (Birmingham AL),RF,2010-06-30,SH,71912214.0,473182000.0,75815514.0,595152000.0,4.4158,5.5604,9,7,-5.148419,reduction,FINANCE,4906
FAIRHOLME CAPITAL MANAGEMENT LLC,AmeriCredit Corp.,ACF,2010-06-30,SH,24811195.0,452079000.0,30673922.0,728837000.0,4.2189,6.8094,10,5,-19.113066,reduction,FINANCE,5047
FAIRHOLME CAPITAL MANAGEMENT LLC,Spirit Aerosystems Holdings Inc. Class A,SPR,2010-06-30,SH,22700398.0,432676000.0,23073740.0,539472000.0,4.0378,5.0402,11,9,-1.618039,reduction,INDUSTRIALS,4915
FAIRHOLME CAPITAL MANAGEMENT LLC,CIT Group Inc (DEL),CIT,2010-06-30,SH,12239529.0,414430000.0,12239729.0,476860000.0,3.8675,4.4553,12,12,-0.001634,reduction,FINANCE,195358
FAIRHOLME CAPITAL MANAGEMENT LLC,Berkshire Hathaway Inc Class B,BRK.B,2010-06-30,SH,5015900.0,399761000.0,3763000.0,305864000.0,3.7306,2.8577,13,15,33.295243,addition,FINANCE,2827
FAIRHOLME CAPITAL MANAGEMENT LLC,Jefferies Financial Group Inc. (Talcott National - Leucadia National),JEF,2010-06-30,SH,22020426.09,384591000.0,22680143.79,503719000.0,3.5891,4.7062,14,11,-2.90879,reduction,FINANCE,11351
FAIRHOLME CAPITAL MANAGEMENT LLC,Morgan Stanley,MS,2010-06-30,SH,16257800.0,377344000.0,0.0,0.0,3.5214,,15,999999,,new,FINANCE,505
FAIRHOLME CAPITAL MANAGEMENT LLC,American International Group Inc. 8.50% Equity Units due 2/15/2011 to 8/1/2011,AIGPRA,2010-06-30,SH,29895726.0,286999000.0,20312500.0,207594000.0,2.6783,1.9395,16,17,47.178959,addition,FINANCE,46053
FAIRHOLME CAPITAL MANAGEMENT LLC,Herc Holdings Inc,HRI,2010-06-30,SH,28926400.0,273645000.0,56179189.0,561231000.0,2.5537,5.2435,17,8,-48.510471,reduction,TRANSPORTS,197209
FAIRHOLME CAPITAL MANAGEMENT LLC,BP Plc ADR (British Petroleum),BP,2010-06-30,SH,9435900.0,272509000.0,0.0,0.0,2.5431,,18,999999,,new,ENERGY,2506
FAIRHOLME CAPITAL MANAGEMENT LLC,COMCAST CORP SPL A (NEW),CMCSK,2010-06-30,SH,16294100.0,267712000.0,21208100.0,381110000.0,2.4983,3.5607,19,14,-23.170392,reduction,CONSUMER DISCRETIONARY,2829
FAIRHOLME CAPITAL MANAGEMENT LLC,WellCare Health Plans Inc,WCG,2010-06-30,SH,7443078.0,176717000.0,7805576.0,232629000.0,1.6492,2.1734,20,16,-4.64409,reduction,HEALTH CARE,738
FAIRHOLME CAPITAL MANAGEMENT LLC,MBIA Inc.,MBI,2010-06-30,SH,22736200.0,127550000.0,0.0,0.0,1.1903,,21,999999,,new,FINANCE,2840
FAIRHOLME CAPITAL MANAGEMENT LLC,Residential Resources Mortgage Investment Corp. (New),RRR,2010-06-30,SH,14838500.0,91554000.0,14340700.0,114152000.0,0.8544,1.0665,22,19,3.471239,addition,INDUSTRIALS,7536
FAIRHOLME CAPITAL MANAGEMENT LLC,Winthrop Realty Trust,FUR,2010-06-30,SH,4203847.0,53876000.0,4831055.0,58175000.0,0.5028,0.5435,23,20,-12.982837,reduction,REAL ESTATE,7698
FAIRHOLME CAPITAL MANAGEMENT LLC,Triton International Ltd,TRTN,2010-06-30,SH,1868653.0,39889000.0,2095876.0,39782000.0,0.3723,0.3717,24,21,-10.841433,reduction,INDUSTRIALS,7619
FAIRHOLME CAPITAL MANAGEMENT LLC,Comcast Corp.  Class A,CMCSA,2010-06-30,SH,278036.0,2415000.0,18028236.0,169646000.0,0.0225,1.585,25,18,-98.457775,reduction,COMMUNICATIONS,3995
FAIRHOLME CAPITAL MANAGEMENT LLC,Daily Journal Corp (SC),DJCO,2010-06-30,SH,11050.0,753000.0,12150.0,811000.0,0.007,0.0076,26,22,-9.053498,reduction,COMMUNICATIONS,8771
