Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector,stock_id
FARALLON CAPITAL MANAGEMENT LLC,iShares Russell 2000 ETF-iShares Russell 2000 ETF,IWM,2005-09-30,PUT,7771300.0,515937000.0,0.0,0.0,14.4235,,1,999999,,new,FINANCE,4116
FARALLON CAPITAL MANAGEMENT LLC,CapitalSource Inc.,CSE,2005-09-30,SH,22996646.0,501327000.0,22996646.0,451424000.0,14.015,12.7649,2,1,0.0,,FINANCE,2547
FARALLON CAPITAL MANAGEMENT LLC,Citigroup Inc.,C,2005-09-30,SH,328750.0,149647000.0,140810.0,65096000.0,4.1835,1.8407,3,16,133.470634,addition,FINANCE,216
FARALLON CAPITAL MANAGEMENT LLC,Amylin Pharmaceuticals,AMLN,2005-09-30,SH,4108600.0,142938000.0,4908679.0,102739000.0,3.996,2.9052,4,6,-16.299273,reduction,HEALTH CARE,3576
FARALLON CAPITAL MANAGEMENT LLC,Walmart Inc,WMT,2005-09-30,SH,7950000.0,116123000.0,5850000.0,93990000.0,3.2463,2.6578,5,9,35.897436,addition,CONSUMER STAPLES,345
FARALLON CAPITAL MANAGEMENT LLC,21st Century Fox Inc. Class B,TFCF,2005-09-30,SH,6471400.0,100889000.0,5835900.0,94425000.0,2.8204,2.6701,6,7,10.889494,addition,COMMUNICATIONS,4047
FARALLON CAPITAL MANAGEMENT LLC,Circuit City Stores Inc.,CCTYQ,2005-09-30,SH,5659000.0,97108000.0,5355000.0,92588000.0,2.7147,2.6181,7,10,5.676937,addition,CONSUMER DISCRETIONARY,4176
FARALLON CAPITAL MANAGEMENT LLC,PHH Corp,PHH,2005-09-30,SH,3384500.0,92938000.0,3111300.0,80023000.0,2.5982,2.2628,8,13,8.780895,addition,INDUSTRIALS,4963
FARALLON CAPITAL MANAGEMENT LLC,Countrywide Financial Corp.,CFC,2005-09-30,SH,2770200.0,91361000.0,1919300.0,74104000.0,2.5541,2.0954,9,14,44.333872,addition,FINANCE,772
FARALLON CAPITAL MANAGEMENT LLC,Sina Corp,SINA,2005-09-30,PRN,68000000.0,85395000.0,68000000.0,85893000.0,2.3873,2.4288,10,12,0.0,,COMMUNICATIONS,5478
FARALLON CAPITAL MANAGEMENT LLC,Harrahs Entertainment Inc.,HET,2005-09-30,SH,1280600.0,83482000.0,0.0,0.0,2.3338,,11,999999,,new,CONSUMER DISCRETIONARY,75642
FARALLON CAPITAL MANAGEMENT LLC,Elevance Health Inc,ELV,2005-09-30,SH,990300.0,75085000.0,1573000.0,109544000.0,2.0991,3.0976,12,4,-37.043865,reduction,HEALTH CARE,175259
FARALLON CAPITAL MANAGEMENT LLC,CoreCivic Inc. (Corrections Corp. of America),CXW,2005-09-30,SH,5307000.0,70229000.0,6810600.0,89105000.0,1.9633,2.5196,13,11,-22.07735,reduction,REAL ESTATE,4021
FARALLON CAPITAL MANAGEMENT LLC,Leap Wireless International Inc. (New),LWINQ,2005-09-30,SH,1956900.0,68883000.0,0.0,0.0,1.9257,,14,999999,,new,COMMUNICATIONS,5946
FARALLON CAPITAL MANAGEMENT LLC,Sprint Corp,S,2005-09-30,SH,2702436.0,64264000.0,1085000.0,27223000.0,1.7966,0.7698,15,35,149.072442,addition,UTILITIES AND TELECOMMUNICATIONS,461
FARALLON CAPITAL MANAGEMENT LLC,Hibernia Corp. Class A,HIB,2005-09-30,SH,1926520.0,57873000.0,1001520.0,33230000.0,1.6179,0.9396,16,31,92.359613,addition,FINANCE,85136
FARALLON CAPITAL MANAGEMENT LLC,Sealed Air Corp.,SEE,2005-09-30,SH,2400000.0,56952000.0,2400000.0,59748000.0,1.5921,1.6895,17,17,0.0,,MATERIALS,3662
FARALLON CAPITAL MANAGEMENT LLC,Arch Capital Group Ltd.,ACGL,2005-09-30,SH,10041192.0,55327000.0,10041192.0,50262000.0,1.5467,1.4213,18,20,0.0,,FINANCE,6468
FARALLON CAPITAL MANAGEMENT LLC,Atherogenics Inc,AGIXQ,2005-09-30,SH,3400000.0,54502000.0,3400000.0,54332000.0,1.5237,1.5363,19,19,0.0,,HEALTH CARE,3907
FARALLON CAPITAL MANAGEMENT LLC,Liberty Media Group Inc. Class A,LMCA,2005-09-30,SH,5488700.0,44184000.0,3888700.0,39626000.0,1.2352,1.1205,20,22,41.144856,addition,CONSUMER DISCRETIONARY,107293
FARALLON CAPITAL MANAGEMENT LLC,MabVax Therapeutics Holdings Inc,MBVXQ,2005-09-30,SH,498.24,43521000.0,498.24,43228000.0,1.2167,1.2224,21,21,0.0,,HEALTH CARE,7626
FARALLON CAPITAL MANAGEMENT LLC,Rogers Communications Inc. Class B (NYSE),RCI,2005-09-30,SH,2155800.0,42412000.0,0.0,0.0,1.1857,,22,999999,,new,COMMUNICATIONS,5564
FARALLON CAPITAL MANAGEMENT LLC,Grupo Televisa S.A. GDR,TV,2005-09-30,SH,2164600.0,38806000.0,2172000.0,33715000.0,1.0849,0.9534,23,30,-0.3407,reduction,COMMUNICATIONS,5537
FARALLON CAPITAL MANAGEMENT LLC,Yankee Candle Co. Inc. (The),YCC,2005-09-30,SH,1342700.0,32896000.0,0.0,0.0,0.9196,,24,999999,,new,CONSUMER DISCRETIONARY,106791
FARALLON CAPITAL MANAGEMENT LLC,Virgin Media Inc,VMED,2005-09-30,SH,1423244.0,32663000.0,1601344.0,36479000.0,0.9131,1.0315,25,27,-11.121908,reduction,CONSUMER DISCRETIONARY,2410
FARALLON CAPITAL MANAGEMENT LLC,Siebel Systems Inc,SEBL,2005-09-30,SH,3064426.0,31656000.0,0.0,0.0,0.885,,26,999999,,new,INFORMATION TECHNOLOGY,104877
FARALLON CAPITAL MANAGEMENT LLC,Gen Digital Inc,GEN,2005-09-30,SH,1330019.0,30138000.0,500000.0,10870000.0,0.8425,0.3074,27,58,166.0038,addition,INFORMATION TECHNOLOGY,466
FARALLON CAPITAL MANAGEMENT LLC,Hilltop Holdings Inc,HTH,2005-09-30,SH,2936800.0,29691000.0,940400.0,12554000.0,0.83,0.355,28,55,212.292641,addition,REAL ESTATE,7219
FARALLON CAPITAL MANAGEMENT LLC,PT Indonesian TBK ADR,PTINY,2005-09-30,SH,1147300.0,28683000.0,615000.0,17564000.0,0.8019,0.4967,29,44,86.552846,addition,COMMUNICATIONS,6872
FARALLON CAPITAL MANAGEMENT LLC,CUBIST PHARMACEUTICALS INC 01/22/2015Non-Confidential,CBST,2005-09-30,SH,1275255.0,27469000.0,1254555.0,16522000.0,0.7679,0.4672,30,45,1.649987,addition,HEALTH CARE,11454
FARALLON CAPITAL MANAGEMENT LLC,COMCAST CORP SPL A (NEW),CMCSK,2005-09-30,SH,1394601.0,26758000.0,0.0,0.0,0.748,,31,999999,,new,CONSUMER DISCRETIONARY,2829
FARALLON CAPITAL MANAGEMENT LLC,CV Therapeutics Inc,CVTX,2005-09-30,SH,994100.0,26592000.0,994100.0,22288000.0,0.7434,0.6302,32,39,0.0,,HEALTH CARE,4022
FARALLON CAPITAL MANAGEMENT LLC,Freddie Mac (Federal Home Loan Mortgage Corp.),FMCC,2005-09-30,SH,450600.0,25441000.0,569500.0,37148000.0,0.7112,1.0504,33,26,-20.877963,reduction,FINANCE,2416
FARALLON CAPITAL MANAGEMENT LLC,Dicks Sporting Goods Inc,DKS,2005-09-30,SH,1603800.0,24145000.0,0.0,0.0,0.675,,34,999999,,new,CONSUMER DISCRETIONARY,5075
FARALLON CAPITAL MANAGEMENT LLC,Granite Real Estate Investment Trusts,GRP.U,2005-09-30,SH,705000.0,23794000.0,1183000.0,37324000.0,0.6652,1.0554,35,25,-40.405748,reduction,REAL ESTATE,139082
FARALLON CAPITAL MANAGEMENT LLC,Spirit Finance Corp.,SFC,2005-09-30,SH,2100000.0,23625000.0,2100000.0,24675000.0,0.6605,0.6977,36,37,0.0,,FINANCE,104929
FARALLON CAPITAL MANAGEMENT LLC,Best Buy Co. Inc.,BBY,2005-09-30,SH,528700.0,23014000.0,840000.0,38388000.0,0.6434,1.0855,37,24,-37.059524,reduction,CONSUMER DISCRETIONARY,208
FARALLON CAPITAL MANAGEMENT LLC,Microsoft Corp.,MSFT,2005-09-30,SH,864200.0,22236000.0,564200.0,14015000.0,0.6216,0.3963,38,51,53.172634,addition,INFORMATION TECHNOLOGY,178
FARALLON CAPITAL MANAGEMENT LLC,Sappi Ltd ADS,SPPJY,2005-09-30,SH,1875000.0,22106000.0,1875000.0,20288000.0,0.618,0.5737,39,42,0.0,,MATERIALS,7550
FARALLON CAPITAL MANAGEMENT LLC,Citadel Broadcasting Corp. (Old),CTDBQ,2005-09-30,PRN,27040000.0,21210000.0,27040000.0,20693000.0,0.5929,0.5851,40,41,0.0,,CONSUMER DISCRETIONARY,3532
FARALLON CAPITAL MANAGEMENT LLC,Dun & Bradstreet Holdings Inc.,DNB,2005-09-30,SH,314000.0,20683000.0,0.0,0.0,0.5782,,41,999999,,new,INFORMATION TECHNOLOGY,5078
FARALLON CAPITAL MANAGEMENT LLC,The Medicines Co,MDCO,2005-09-30,SH,852500.0,19616000.0,230000.0,5366000.0,0.5484,0.1517,42,73,270.652174,addition,HEALTH CARE,2815
FARALLON CAPITAL MANAGEMENT LLC,MBNA Corp.,KRB,2005-09-30,SH,790000.0,19466000.0,0.0,0.0,0.5442,,43,999999,,new,FINANCE,102274
FARALLON CAPITAL MANAGEMENT LLC,FairPoint Communications Inc. (Old),FRCMQ,2005-09-30,SH,1300000.0,19019000.0,1300000.0,20995000.0,0.5317,0.5937,44,40,0.0,,COMMUNICATIONS,5268
FARALLON CAPITAL MANAGEMENT LLC,Amylin Pharmaceuticals,AMLN,2005-09-30,PRN,15000000.0,17705000.0,15000000.0,14325000.0,0.495,0.4051,45,49,0.0,,HEALTH CARE,3576
FARALLON CAPITAL MANAGEMENT LLC,Cypress Semiconductor Corp,CY,2005-09-30,PRN,64322250.0,16272000.0,64322250.0,14673000.0,0.4549,0.4149,46,48,0.0,,INFORMATION TECHNOLOGY,3714
FARALLON CAPITAL MANAGEMENT LLC,PHARMACYCLICS INC,PCYC,2005-09-30,SH,1790500.0,16150000.0,1790500.0,13447000.0,0.4515,0.3802,47,52,0.0,,HEALTH CARE,9328
FARALLON CAPITAL MANAGEMENT LLC,ARAMARK Corp. Class B,RMK,2005-09-30,SH,599100.0,16002000.0,484900.0,12801000.0,0.4473,0.362,48,53,23.551248,addition,INDUSTRIALS,104597
FARALLON CAPITAL MANAGEMENT LLC,Neiman Marcus Group Class A,NMGA,2005-09-30,SH,155200.0,15512000.0,110300.0,10690000.0,0.4337,0.3023,49,59,40.707162,addition,CONSUMER DISCRETIONARY,103349
FARALLON CAPITAL MANAGEMENT LLC,Casella Waste Systems Inc,CWST,2005-09-30,SH,1178002.0,15467000.0,1178002.0,14136000.0,0.4324,0.3997,50,50,0.0,,INDUSTRIALS,6821
FARALLON CAPITAL MANAGEMENT LLC,State Street Corp. (State Street Bank & Trust Co. Boston MA),STT,2005-09-30,SH,314700.0,15395000.0,313100.0,15107000.0,0.4304,0.4272,51,47,0.511019,addition,FINANCE,281
FARALLON CAPITAL MANAGEMENT LLC,Aon PLC,AON,2005-09-30,SH,453500.0,14548000.0,184800.0,4627000.0,0.4067,0.1308,52,79,145.400433,addition,FINANCE,11339
FARALLON CAPITAL MANAGEMENT LLC,Arbor Realty Trust,ABR,2005-09-30,SH,503400.0,14146000.0,1192800.0,34233000.0,0.3955,0.968,53,29,-57.796781,reduction,REAL ESTATE,5208
FARALLON CAPITAL MANAGEMENT LLC,Ionis Phrmacutls,IONS,2005-09-30,SH,2919118.0,13267000.0,0.0,0.0,0.3709,,54,999999,,new,HEALTH CARE,3742
FARALLON CAPITAL MANAGEMENT LLC,Putnam Premier Income Trust,PPT,2005-09-30,SH,2000000.0,12480000.0,0.0,0.0,0.3489,,55,999999,,new,MUTUAL FUND,7513
FARALLON CAPITAL MANAGEMENT LLC,Magna Entertainment Inc Class A,MECAQ,2005-09-30,SH,897500.0,11955000.0,1124934.5,12689000.0,0.3342,0.3588,56,54,-20.217577,reduction,CONSUMER DISCRETIONARY,75885
FARALLON CAPITAL MANAGEMENT LLC,Philippine Long Distance Telephone Co ADR,PHI,2005-09-30,SH,391500.0,11921000.0,0.0,0.0,0.3333,,57,999999,,new,UTILITIES AND TELECOMMUNICATIONS,6417
FARALLON CAPITAL MANAGEMENT LLC,Eldorado Resorts Inc,CZR,2005-09-30,SH,1378780.0,11044000.0,1378780.0,16049000.0,0.3087,0.4538,58,46,0.0,,CONSUMER DISCRETIONARY,7368
FARALLON CAPITAL MANAGEMENT LLC,Multimedia Games Holding Company Inc.,MGAM,2005-09-30,SH,1095000.0,10632000.0,582759.0,6416000.0,0.2972,0.1814,59,70,87.899286,addition,CONSUMER DISCRETIONARY,7369
FARALLON CAPITAL MANAGEMENT LLC,PanAmSat Holding Corp,PA,2005-09-30,SH,435000.0,10527000.0,0.0,0.0,0.2943,,60,999999,,new,COMMUNICATIONS,107458
FARALLON CAPITAL MANAGEMENT LLC,KKR Financial Holding Co.,KFN,2005-09-30,SH,469000.0,10431000.0,0.0,0.0,0.2916,,61,999999,,new,FINANCE,6855
FARALLON CAPITAL MANAGEMENT LLC,FTD Group Inc,FTD,2005-09-30,SH,998400.0,10333000.0,998400.0,11332000.0,0.2889,0.3204,62,57,0.0,,CONSUMER DISCRETIONARY,11510
FARALLON CAPITAL MANAGEMENT LLC,Hercules Capital Inc,HTGC,2005-09-30,SH,808760.0,10312000.0,808760.0,10433000.0,0.2883,0.295,63,61,0.0,,FINANCE,7217
FARALLON CAPITAL MANAGEMENT LLC,International Game Technology Inc.,IGT,2005-09-30,SH,375000.0,10125000.0,375000.0,10556000.0,0.2831,0.2985,64,60,0.0,,CONSUMER DISCRETIONARY,3619
FARALLON CAPITAL MANAGEMENT LLC,Warner Bros.Discovery Inc,WBD,2005-09-30,SH,689922.0,9956000.0,0.0,0.0,0.2783,,65,999999,,new,COMMUNICATIONS,3595
FARALLON CAPITAL MANAGEMENT LLC,LSI Corp. (CA),LSI,2005-09-30,PRN,9900000.0,9856000.0,9900000.0,9795000.0,0.2755,0.277,66,63,0.0,,INFORMATION TECHNOLOGY,922
FARALLON CAPITAL MANAGEMENT LLC,Bedford Property Investors Inc.,BED,2005-09-30,SH,380000.0,9059000.0,245600.0,5654000.0,0.2533,0.1599,67,72,54.723127,addition,FINANCE,98365
FARALLON CAPITAL MANAGEMENT LLC,Windstream Holdings Inc,WINMQ,2005-09-30,SH,20460.76,8365000.0,20697.47,8567000.0,0.2339,0.2422,68,65,-1.143666,reduction,UTILITIES AND TELECOMMUNICATIONS,3840
