Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector,stock_id
"GLENVIEW CAPITAL MANAGEMENT, LLC",Thermo Fisher Scientific Inc.,TMO,2007-06-30,SH,9827568.0,508282000.0,9112170.0,425994000.0,4.3947,4.2833,1,5,7.851017,addition,HEALTH CARE,468
"GLENVIEW CAPITAL MANAGEMENT, LLC",Crown Castle International Corp,CCI,2007-06-30,SH,13855089.0,502524000.0,2590890.0,83245000.0,4.3449,0.837,2,32,434.761761,addition,UTILITIES AND TELECOMMUNICATIONS,2617
"GLENVIEW CAPITAL MANAGEMENT, LLC",Elevance Health Inc,ELV,2007-06-30,SH,6030985.0,481454000.0,3740224.0,303332000.0,4.1627,3.05,3,12,61.246626,addition,HEALTH CARE,175259
"GLENVIEW CAPITAL MANAGEMENT, LLC",Trane Technologies Plc,TT,2007-06-30,SH,8602613.0,471595000.0,4135689.0,179365000.0,4.0775,1.8035,4,24,108.009185,addition,INDUSTRIALS,3496
"GLENVIEW CAPITAL MANAGEMENT, LLC",CVS Health Corp. (Melville Shoe),CVS,2007-06-30,SH,12199262.0,444663000.0,18511851.0,631995000.0,3.8446,6.3547,5,1,-34.100258,reduction,CONSUMER STAPLES,221
"GLENVIEW CAPITAL MANAGEMENT, LLC",American Tower Corp. Class A,AMT,2007-06-30,SH,10501569.0,441066000.0,7966267.0,310286000.0,3.8135,3.1199,6,10,31.825471,addition,UTILITIES AND TELECOMMUNICATIONS,4850
"GLENVIEW CAPITAL MANAGEMENT, LLC",Virgin Media Inc,VMED,2007-06-30,SH,18047969.0,439829000.0,14173530.0,357882000.0,3.8028,3.5985,7,8,27.335738,addition,CONSUMER DISCRETIONARY,2410
"GLENVIEW CAPITAL MANAGEMENT, LLC",Nalco Holding Co.,NLC,2007-06-30,SH,15611140.0,428526000.0,12742030.0,304535000.0,3.7051,3.0621,8,11,22.516899,addition,MATERIALS,4067
"GLENVIEW CAPITAL MANAGEMENT, LLC",Medco Health Solutions Inc.,MHS,2007-06-30,SH,10156208.0,396041000.0,10099414.0,366255000.0,3.4242,3.6827,9,7,0.562349,addition,HEALTH CARE,430
"GLENVIEW CAPITAL MANAGEMENT, LLC",Aetna Inc.,AET,2007-06-30,SH,7848068.0,387695000.0,6076851.0,266105000.0,3.3521,2.6757,10,16,29.146955,addition,HEALTH CARE,11337
"GLENVIEW CAPITAL MANAGEMENT, LLC",Express Scripts Inc.,ESRX,2007-06-30,SH,13852740.0,346388000.0,24844564.0,501363000.0,2.9949,5.0412,11,2,-44.24237,reduction,HEALTH CARE,11326
"GLENVIEW CAPITAL MANAGEMENT, LLC",AT&T Inc. (Southwestern Bell - SBC Corp.),T,2007-06-30,SH,10911348.8,342010000.0,2278339.2,67851000.0,2.9571,0.6822,12,39,378.916783,addition,UTILITIES AND TELECOMMUNICATIONS,200
"GLENVIEW CAPITAL MANAGEMENT, LLC",Fidelity National Information Services Inc,FIS,2007-06-30,SH,5694743.0,309111000.0,6648143.0,302225000.0,2.6726,3.0389,13,13,-14.340847,reduction,FINANCE,2403
"GLENVIEW CAPITAL MANAGEMENT, LLC",Donnelley (R.R.) & Sons Co,RRD,2007-06-30,SH,7030130.0,305881000.0,0.0,0.0,2.6447,,14,999999,,new,INDUSTRIALS,3597
"GLENVIEW CAPITAL MANAGEMENT, LLC",NCR Voyix Corp,VYX,2007-06-30,SH,8831718.16,284674000.0,6490712.16,190222000.0,2.4613,1.9127,15,22,36.067013,addition,INFORMATION TECHNOLOGY,3634
"GLENVIEW CAPITAL MANAGEMENT, LLC",McKesson Corp.,MCK,2007-06-30,SH,4518249.0,269468000.0,7358450.0,430764000.0,2.3299,4.3313,16,4,-38.597816,reduction,HEALTH CARE,252
"GLENVIEW CAPITAL MANAGEMENT, LLC",UnitedHealth Group Inc.,UNH,2007-06-30,SH,5227140.0,267316000.0,2666740.0,141257000.0,2.3113,1.4203,17,26,96.01236,addition,HEALTH CARE,153
"GLENVIEW CAPITAL MANAGEMENT, LLC",First American Corp (The),FAF,2007-06-30,SH,5380000.0,266310000.0,5208000.0,264150000.0,2.3026,2.656,18,17,3.302611,addition,FINANCE,2615
"GLENVIEW CAPITAL MANAGEMENT, LLC",Corning Inc.,GLW,2007-06-30,SH,9737165.0,248785000.0,14859589.0,337907000.0,2.151,3.3976,19,9,-34.472178,reduction,MATERIALS,146
