Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector,stock_id
GREENLIGHT CAPITAL INC,M.D.C. Holdings Inc.,MDC,2002-09-30,SH,4159267.42,92217000.0,3787102.46,123689000.0,12.9108,18.1214,1,1,9.827169,addition,CONSUMER DISCRETIONARY,5126
GREENLIGHT CAPITAL INC,Patina Oil & Gas Corp.,POG,2002-09-30,SH,2415625.0,68845000.0,2415625.0,66261000.0,9.6386,9.7078,2,2,0.0,,ENERGY,104110
GREENLIGHT CAPITAL INC,ARCH COAL INC. (XNYS TO: XNAS),ACIIQ,2002-09-30,SH,570220.0,47186000.0,500000.0,56775000.0,6.6062,8.318,3,3,14.044,addition,ENERGY,4851
GREENLIGHT CAPITAL INC,Stage Stores Inc,SSINQ,2002-09-30,SH,4364325.0,42072000.0,2620649.25,40463000.0,5.8903,5.9281,4,5,66.536022,addition,CONSUMER DISCRETIONARY,822
GREENLIGHT CAPITAL INC,IDT Corp. Class B,IDT,2002-09-30,SH,2500000.0,38325000.0,1828600.0,24440000.0,5.3657,3.5807,5,9,36.716614,addition,UTILITIES AND TELECOMMUNICATIONS,5394
GREENLIGHT CAPITAL INC,Iomega Corp,IOM,2002-09-30,SH,3374000.0,36068000.0,3495000.0,44911000.0,5.0497,6.5798,6,4,-3.462089,reduction,INFORMATION TECHNOLOGY,66
GREENLIGHT CAPITAL INC,Liberty Media Group Inc. Class A,LMCA,2002-09-30,SH,4200000.0,30156000.0,0.0,0.0,4.222,,7,999999,,new,CONSUMER DISCRETIONARY,107293
GREENLIGHT CAPITAL INC,Prudential Financial Inc,PRU,2002-09-30,SH,1034000.0,29531000.0,1175000.0,39198000.0,4.1345,5.7428,8,6,-12.0,reduction,FINANCE,3652
GREENLIGHT CAPITAL INC,Cendant Corp,cd,2002-09-30,SH,2650000.0,28514000.0,0.0,0.0,3.9921,,9,999999,,new, ,141590
GREENLIGHT CAPITAL INC,Advanced Medical Optics Inc.,EYE,2002-09-30,SH,2670000.0,27294000.0,0.0,0.0,3.8213,,10,999999,,new,HEALTH CARE,747
GREENLIGHT CAPITAL INC,Sycamore Networks Inc.,SCMR,2002-09-30,SH,10000000.0,23500000.0,3250900.0,12548000.0,3.2901,1.8384,11,17,207.607124,addition,INFORMATION TECHNOLOGY,85798
GREENLIGHT CAPITAL INC,Gemstar-TV Guide International Inc.,GMST,2002-09-30,SH,9263000.0,23343000.0,7205000.0,38835000.0,3.2681,5.6896,12,7,28.563498,addition,INFORMATION TECHNOLOGY,3605
GREENLIGHT CAPITAL INC,CNA Financial Corp.,CNA,2002-09-30,SH,750000.0,18750000.0,599000.0,15874000.0,2.6251,2.3257,13,13,25.208681,addition,FINANCE,2802
GREENLIGHT CAPITAL INC,Mercer International Inc,MERC,2002-09-30,SH,2517500.0,14803000.0,2517500.0,20140000.0,2.0725,2.9507,14,10,0.0,,MATERIALS,6191
GREENLIGHT CAPITAL INC,Endo International plc,ENDPQ,2002-09-30,SH,1667500.0,14396000.0,1215600.0,8509000.0,2.0155,1.2466,15,21,37.175058,addition,HEALTH CARE,5081
GREENLIGHT CAPITAL INC,UICI,UCI,2002-09-30,SH,853100.0,13871000.0,743600.0,15021000.0,1.942,2.2007,16,14,14.725659,addition,FINANCE,107607
GREENLIGHT CAPITAL INC,EMCOR Group Inc.,EME,2002-09-30,SH,1099600.0,13663000.0,1099600.0,16137000.0,1.9129,2.3642,17,12,0.0,,INDUSTRIALS,6140
GREENLIGHT CAPITAL INC,Tivo Corporation,TIVO,2002-09-30,SH,1100000.0,13453000.0,0.0,0.0,1.8835,,18,999999,,new,INFORMATION TECHNOLOGY,51057
GREENLIGHT CAPITAL INC,Insignia Financial GP Inc,IFS,2002-09-30,SH,1667500.0,13090000.0,1693400.0,16460000.0,1.8327,2.4115,19,11,-1.529467,reduction,INDUSTRIALS,101718
GREENLIGHT CAPITAL INC,NeoPharm Inc.,NEOL,2002-09-30,SH,8667.7,12221000.0,8667.7,10895000.0,1.711,1.5962,20,19,0.0,,HEALTH CARE,8092
GREENLIGHT CAPITAL INC,Citigroup Inc.,C,2002-09-30,SH,40000.0,11860000.0,0.0,0.0,1.6604,,21,999999,,new,FINANCE,216
GREENLIGHT CAPITAL INC,Wyeth Inc.,WYE,2002-09-30,SH,300000.0,9540000.0,0.0,0.0,1.3356,,22,999999,,new,HEALTH CARE,477
GREENLIGHT CAPITAL INC,Providian Financial Corp.,PVN,2002-09-30,PRN,145000.0,9280000.0,145000.0,9715000.0,1.2992,1.4233,23,20,0.0,,FINANCE,104313
GREENLIGHT CAPITAL INC,Visteon Corp. (Old),VSTNQ,2002-09-30,SH,919400.0,8707000.0,1816000.0,25787000.0,1.219,3.778,24,8,-49.372247,reduction,CONSUMER DISCRETIONARY,5808
GREENLIGHT CAPITAL INC,Dollar Thrifty Automotive Group Inc.,DTG,2002-09-30,SH,534200.0,8574000.0,550200.0,14250000.0,1.2004,2.0877,25,16,-2.908033,reduction,TRANSPORTS,2402
GREENLIGHT CAPITAL INC,CIT Group Inc. (2002),CITGQ,2002-09-30,SH,473000.0,8505000.0,0.0,0.0,1.1907,,26,999999,,new,FINANCE,2415
GREENLIGHT CAPITAL INC,Saxon Capital Inc (MD),SAX,2002-09-30,SH,650000.0,7196000.0,350000.0,5695000.0,1.0075,0.8344,27,25,85.714286,addition,FINANCE,104771
GREENLIGHT CAPITAL INC,3Com Corp.,COMS-1,2002-09-30,SH,1808200.0,7124000.0,2774900.0,12210000.0,0.9974,1.7889,28,18,-34.837291,reduction,INFORMATION TECHNOLOGY,187
GREENLIGHT CAPITAL INC,Silicon Graphics Inc (New),SGID,2002-09-30,SH,7367200.0,6042000.0,4924400.0,14478000.0,0.8459,2.1211,29,15,49.606043,addition,INFORMATION TECHNOLOGY,11533
GREENLIGHT CAPITAL INC,New Century Financial Corp. 9.125% Series A Cumul Redeem Preferred Stock,NEWCQPRA,2002-09-30,SH,213000.0,4984000.0,225000.0,7868000.0,0.6978,1.1527,30,22,-5.333333,reduction,FINANCE,13808
GREENLIGHT CAPITAL INC,Safeguard Scientifics Inc.,SFE,2002-09-30,PRN,77500.0,4495000.0,77500.0,4728000.0,0.6293,0.6927,31,28,0.0,,INFORMATION TECHNOLOGY,7545
GREENLIGHT CAPITAL INC,Magna Entertainment Inc Class A,MECAQ,2002-09-30,SH,360600.0,3923000.0,360600.0,5041000.0,0.5492,0.7385,32,27,0.0,,CONSUMER DISCRETIONARY,75885
GREENLIGHT CAPITAL INC,Jacuzzi Brands Inc,JJZ,2002-09-30,SH,1486500.0,3493000.0,1486500.0,5128000.0,0.489,0.7513,33,26,0.0,,INDUSTRIALS,102087
GREENLIGHT CAPITAL INC,Live Microsystmes Inc.,LMSC,2002-09-30,PRN,3535.1,3074000.0,3535.1,3233000.0,0.4304,0.4737,35,30,0.0,,INFORMATION TECHNOLOGY,86300
GREENLIGHT CAPITAL INC,Monsanto Co. (New),MON,2002-09-30,SH,400000.0,3058000.0,0.0,0.0,0.4281,,36,999999,,new,MATERIALS,16
GREENLIGHT CAPITAL INC,NeoMagic Corp.,NMGC,2002-09-30,SH,558200.0,2903000.0,558200.0,7424000.0,0.4064,1.0877,37,23,0.0,,INFORMATION TECHNOLOGY,9690
GREENLIGHT CAPITAL INC,Silicon Graphics Inc (New),SGID,2002-09-30,PRN,47500.0,2470000.0,0.0,0.0,0.3458,,38,999999,,new,INFORMATION TECHNOLOGY,11533
GREENLIGHT CAPITAL INC,CLST Holdings Inc,CLHI,2002-09-30,PRN,20000.0,1700000.0,20000.0,1700000.0,0.238,0.2491,39,32,0.0,,INFORMATION TECHNOLOGY,12477
GREENLIGHT CAPITAL INC,Bindview Development Corp.,BVEW,2002-09-30,SH,1340300.0,1126000.0,2041500.0,2082000.0,0.1576,0.305,40,31,-34.347294,reduction,INFORMATION TECHNOLOGY,98700
GREENLIGHT CAPITAL INC,Providian Financial Corp.,PVN,2002-09-30,SH,189000.0,926000.0,189000.0,1111000.0,0.1296,0.1628,41,33,0.0,,FINANCE,104313
GREENLIGHT CAPITAL INC,OPTi Inc,OPTI,2002-09-30,SH,408700.0,470000.0,408700.0,584000.0,0.0658,0.0856,42,34,0.0,,INFORMATION TECHNOLOGY,12498
GREENLIGHT CAPITAL INC,Windtree Therapeutics Inc,WINT,2002-09-30,SH,0.29,340000.0,0.29,316000.0,0.0476,0.0463,43,36,0.0,,HEALTH CARE,7101
GREENLIGHT CAPITAL INC,Omtool Ltd,OMTL,2002-09-30,SH,0.0,0.0,154760.7,460000.0,,0.0674,999999,35,-100.0,soldall,INFORMATION TECHNOLOGY,11778
GREENLIGHT CAPITAL INC,American Physicians Capital Inc,ACAP,2002-09-30,SH,0.0,0.0,662783.43,6118000.0,,0.8963,999999,24,-100.0,soldall,FINANCE,6308
GREENLIGHT CAPITAL INC,WorldCom Inc.-WorldCom Group,WCOEQ,2002-09-30,SH,0.0,0.0,3000400.0,300000.0,,0.044,999999,37,-100.0,soldall,COMMUNICATIONS,4405
