Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector,stock_id
GREENLIGHT CAPITAL INC,Green Brick Partners Inc,GRBK,2021-03-31,SH,17418668.0,395056000.0,24118668.0,553765000.0,27.4987,33.3001,1,1,-27.779312,reduction,MATERIALS,9612
GREENLIGHT CAPITAL INC,Brighthouse Financial Inc,BHF,2021-03-31,SH,3640332.0,161086000.0,3640332.0,131798000.0,11.2127,7.9255,2,2,0.0,,FINANCE,202547
GREENLIGHT CAPITAL INC,Atlas Air Worldwide Holdings Inc,AAWW,2021-03-31,SH,1514855.0,91558000.0,1728102.0,94250000.0,6.3731,5.6676,3,4,-12.339954,reduction,TRANSPORTS,4011
GREENLIGHT CAPITAL INC,Danimer Scientific Inc,DNMR,2021-03-31,SH,2152539.0,81258000.0,1725500.0,40566000.0,5.6561,2.4394,4,10,24.748711,addition,FINANCE,216009
GREENLIGHT CAPITAL INC,Change Healthcare Inc,CHNG,2021-03-31,SH,3451145.0,76271000.0,4843005.0,90322000.0,5.309,5.4314,5,5,-28.739595,reduction,INFORMATION TECHNOLOGY,211789
GREENLIGHT CAPITAL INC,Concentrix Corp.,CNXC,2021-03-31,SH,475540.0,71198000.0,334882.0,33052000.0,4.9559,1.9875,6,15,42.002258,addition,INFORMATION TECHNOLOGY,242661
GREENLIGHT CAPITAL INC,Chemours Co (The),CC,2021-03-31,SH,2231579.0,62284000.0,2597249.0,64385000.0,4.3354,3.8717,7,7,-14.079128,reduction,MATERIALS,178072
GREENLIGHT CAPITAL INC,Teck Resources Ltd,TECK,2021-03-31,SH,2321960.0,44535000.0,3119330.0,56615000.0,3.0999,3.4045,8,8,-25.56222,reduction,MATERIALS,5572
GREENLIGHT CAPITAL INC,Resideo Technologies Inc,REZI,2021-03-31,SH,1386233.0,39161000.0,2600300.0,55283000.0,2.7259,3.3244,9,9,-46.689497,reduction,INDUSTRIALS,210737
GREENLIGHT CAPITAL INC,Aercap Holdings N.V.,AER,2021-03-31,SH,664988.0,39062000.0,2322890.0,105877000.0,2.719,6.3668,10,3,-71.372385,reduction,INDUSTRIALS,4846
GREENLIGHT CAPITAL INC,Twitter Inc,TWTR,2021-03-31,SH,487500.0,31021000.0,487500.0,26398000.0,2.1593,1.5874,11,17,0.0,,COMMUNICATIONS,163786
GREENLIGHT CAPITAL INC,CONSOL Energy Inc,CEIX,2021-03-31,SH,2819053.0,27401000.0,4006560.0,28887000.0,1.9073,1.7371,12,16,-29.639067,reduction,ENERGY,203244
GREENLIGHT CAPITAL INC,APi Group Corp,APG,2021-03-31,SH,1282140.0,26514000.0,641070.0,11635000.0,1.8456,0.6997,13,25,100.0,addition,INDUSTRIALS,215759
GREENLIGHT CAPITAL INC,EchoStar Corp.,SATS,2021-03-31,SH,1019446.0,24467000.0,500040.0,10597000.0,1.7031,0.6372,14,27,103.87289,addition,CONSUMER DISCRETIONARY,11307
GREENLIGHT CAPITAL INC,ADT Inc,ADT,2021-03-31,SH,2789700.0,23546000.0,1806800.0,14183000.0,1.639,0.8529,15,22,54.400044,addition,INDUSTRIALS,203819
GREENLIGHT CAPITAL INC,Jack In The Box Inc,JACK,2021-03-31,SH,179800.0,19738000.0,121000.0,11229000.0,1.3739,0.6752,16,26,48.595041,addition,CONSUMER DISCRETIONARY,6377
GREENLIGHT CAPITAL INC,Katapult Holdings Inc,KPLT,2021-03-31,SH,60259.48,19734000.0,0.0,0.0,1.3736,,17,999999,,new, ,212841
GREENLIGHT CAPITAL INC,CNX Resources Corporation,CNX,2021-03-31,SH,1314515.0,19324000.0,3209685.0,34664000.0,1.3451,2.0845,18,13,-59.045358,reduction,ENERGY,1030
GREENLIGHT CAPITAL INC,Synnex Corp,SNX,2021-03-31,SH,146570.0,16832000.0,199753.0,16268000.0,1.1716,0.9783,19,20,-26.624381,reduction,INFORMATION TECHNOLOGY,7616
GREENLIGHT CAPITAL INC,Alight Inc.,ALIT,2021-03-31,SH,1660000.0,16666000.0,0.0,0.0,1.1601,,20,999999,,new,FINANCE,241603
GREENLIGHT CAPITAL INC,SSgA SPDR Gold Shares,GLD,2021-03-31,SH,101980.0,16313000.0,367850.0,65609000.0,1.1355,3.9453,21,6,-72.276743,reduction,MATERIALS,3418
GREENLIGHT CAPITAL INC,NEUBASE THERAPEUTICS ORD SHS,NBSE,2021-03-31,SH,2027027.0,14980000.0,2027027.0,14169000.0,1.0427,0.852,22,23,0.0,, ,211918
GREENLIGHT CAPITAL INC,Offerpad Solutions Inc,OPAD,2021-03-31,SH,81640.8,12375000.0,0.0,0.0,0.8614,,23,999999,,new,REAL ESTATE,243645
GREENLIGHT CAPITAL INC,GoPro Inc,GPRO,2021-03-31,SH,1016800.0,11836000.0,0.0,0.0,0.8239,,24,999999,,new,INFORMATION TECHNOLOGY,168348
GREENLIGHT CAPITAL INC,Extraction Oil & Gas Inc,XOG,2021-03-31,SH,300986.0,10818000.0,0.0,0.0,0.753,,25,999999,,new,ENERGY,245716
GREENLIGHT CAPITAL INC,Capri Holdings Ltd (Michael Kors Holdings),CPRI,2021-03-31,SH,191000.0,9740000.0,0.0,0.0,0.678,,26,999999,,new,INDUSTRIALS,117505
GREENLIGHT CAPITAL INC,Fubotv Inc,FUBO,2021-03-31,SH,431451.0,9544000.0,1217872.0,34101000.0,0.6643,2.0506,27,14,-64.573371,reduction,INFORMATION TECHNOLOGY,134752
GREENLIGHT CAPITAL INC,Gain Therapeutics Inc,GANX,2021-03-31,SH,546560.0,8155000.0,0.0,0.0,0.5676,,28,999999,,new,HEALTH CARE,273653
