Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector,stock_id
ICAHN CARL C,Icahn Enterprises LP,IEP,2013-06-30,SH,99213824.0,7219791000.0,97764251.0,5329130000.0,33.5557,31.4282,1,1,1.482723,addition,INDUSTRIALS,9659
ICAHN CARL C,CVR Energy Inc,CVI,2013-06-30,SH,71198718.0,3374819000.0,71198718.0,3675278000.0,15.6853,21.6747,2,2,0.0,,ENERGY,5059
ICAHN CARL C,Dell Inc.,DELL,2013-06-30,SH,152478650.0,2035590000.0,7000000.0,100310000.0,9.4609,0.5916,3,16,2078.266429,addition,INFORMATION TECHNOLOGY,7
ICAHN CARL C,Forest Laboratories Inc. Class A,FRX,2013-06-30,SH,30662005.0,1257142000.0,30662005.0,1166382000.0,5.8429,6.8787,4,4,0.0,,HEALTH CARE,2842
ICAHN CARL C,Chesapeake Energy Corp,CHKAQ,2013-06-30,SH,298493.45,1216659000.0,298493.45,1218450000.0,5.6547,7.1857,5,3,0.0,,ENERGY,3533
ICAHN CARL C,Netflix Inc,NFLX,2013-06-30,SH,38787462.0,1169664000.0,38787462.0,1049534000.0,5.4363,6.1896,6,5,0.0,,COMMUNICATIONS,692
ICAHN CARL C,Transocean Ltd,RIG,2013-06-30,SH,21477900.0,1029865000.0,20154035.0,1047204000.0,4.7865,6.1758,7,6,6.568734,addition,ENERGY,4160
ICAHN CARL C,Federalmogul Hol,FDML,2013-06-30,SH,76697804.0,783085000.0,76697804.0,462488000.0,3.6396,2.7275,8,9,0.0,,CONSUMER DISCRETIONARY,72669
ICAHN CARL C,Herbalife Nutrition Ltd,HLF,2013-06-30,SH,33932970.0,765867000.0,32710262.0,612500000.0,3.5596,3.6122,9,7,3.737995,addition,HEALTH CARE,2417
ICAHN CARL C,Nuance Communications Inc.,NUAN,2013-06-30,SH,36437513.81,579845000.0,4402860.0,76926000.0,2.695,0.4537,10,17,727.587382,addition,INFORMATION TECHNOLOGY,569
ICAHN CARL C,Hain Celestial Group,HAIN,2013-06-30,SH,14479926.0,470380000.0,14479926.0,442217000.0,2.1862,2.6079,11,10,0.0,,CONSUMER STAPLES,5096
ICAHN CARL C,American Railcar Industries Inc,ARII,2013-06-30,SH,11871268.0,397806000.0,11871268.0,554863000.0,1.8489,3.2723,12,8,0.0,,INDUSTRIALS,606
ICAHN CARL C,Navistar International Corp. (International Harvester),NAV,2013-06-30,SH,11845167.0,328822000.0,11845167.0,409487000.0,1.5283,2.4149,13,11,0.0,,INDUSTRIALS,58176
ICAHN CARL C,Mentor Graphics Corp.,MENT,2013-06-30,SH,16120289.0,315151000.0,16120289.0,290971000.0,1.4647,1.716,14,12,0.0,,INFORMATION TECHNOLOGY,800
ICAHN CARL C,WebMD Health Corp,WBMD,2013-06-30,SH,6700525.0,196795000.0,6700525.0,162956000.0,0.9147,0.961,15,14,0.0,,HEALTH CARE,838
ICAHN CARL C,CVR Refining LP,CVRR,2013-06-30,SH,6000000.0,180360000.0,4000000.0,138760000.0,0.8383,0.8183,16,15,50.0,addition,MATERIALS,134821
ICAHN CARL C,Take-Two Interactive Software Inc.,TTWO,2013-06-30,SH,12020744.0,179950000.0,12020744.0,194135000.0,0.8364,1.1449,17,13,0.0,,INFORMATION TECHNOLOGY,3930
ICAHN CARL C,Enzon Pharmaceuticals Inc,ENZN,2013-06-30,SH,5904863.0,11810000.0,5904863.0,22439000.0,0.0549,0.1323,18,18,0.0,,HEALTH CARE,6903
ICAHN CARL C,Voltari Corp,VLTC,2013-06-30,SH,678203.0,2421000.0,678203.9,2475000.0,0.0113,0.0146,19,19,-0.000133,reduction,INFORMATION TECHNOLOGY,90462
