Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector,stock_id
ICAHN CARL C,Icahn Enterprises LP,IEP,2017-03-31,SH,140524155.0,7200457000.0,129999050.0,7789543000.0,36.1157,34.8159,1,1,8.096294,addition,INDUSTRIALS,9659
ICAHN CARL C,American International Group Inc.,AIG,2017-03-31,SH,45644982.0,2849616000.0,45644982.0,2981074000.0,14.293,13.3241,2,2,0.0,,FINANCE,193
ICAHN CARL C,Cheniere Energy Inc,LNG,2017-03-31,SH,32680490.0,1544806000.0,32680490.0,1353953000.0,7.7484,6.0516,3,5,0.0,,ENERGY,6901
ICAHN CARL C,CVR Energy Inc,CVI,2017-03-31,SH,71198718.0,1429670000.0,71198718.0,1807735000.0,7.1709,8.0798,4,3,0.0,,ENERGY,5059
ICAHN CARL C,PayPal Holdings Inc,PYPL,2017-03-31,SH,31574653.0,1358342000.0,33397153.0,1318185000.0,6.8131,5.8917,5,6,-5.457052,reduction,COMMUNICATIONS,178356
ICAHN CARL C,Herbalife Nutrition Ltd,HLF,2017-03-31,SH,45744648.0,1329797000.0,45000000.0,1083150000.0,6.6699,4.8412,6,8,1.654773,addition,HEALTH CARE,2417
ICAHN CARL C,Freeport-McMoRan Copper & Gold Inc,FCX,2017-03-31,SH,91236296.0,1218917000.0,91236296.0,1203406000.0,6.1138,5.3787,7,7,0.0,,MATERIALS,652
ICAHN CARL C,Xerox Corp. (Haloid Co.),XRX,2017-03-31,SH,24757506.5,726880000.0,24757506.5,864532000.0,3.6459,3.8641,8,9,0.0,,INFORMATION TECHNOLOGY,3685
ICAHN CARL C,Hertz Global Hld,HTZGQ,2017-03-31,SH,33682713.22,513289000.0,33682713.22,630929000.0,2.5745,2.82,9,10,0.0,,CONSUMER DISCRETIONARY,7218
ICAHN CARL C,American Railcar Industries Inc,ARII,2017-03-31,SH,11871268.0,487909000.0,11871268.0,537650000.0,2.4472,2.4031,10,11,0.0,,INDUSTRIALS,606
ICAHN CARL C,Navistar International Corp. (International Harvester),NAV,2017-03-31,SH,16729960.0,411891000.0,16272524.0,510469000.0,2.0659,2.2816,11,12,2.811094,addition,INDUSTRIALS,58176
ICAHN CARL C,Conduent Inc,CNDT,2017-03-31,SH,19806000.0,332345000.0,0.0,0.0,1.667,,12,999999,,new,INFORMATION TECHNOLOGY,198139
ICAHN CARL C,Herc Holdings Inc,HRI,2017-03-31,SH,4312860.0,210856000.0,4312860.0,173205000.0,1.0576,0.7742,13,15,0.0,,TRANSPORTS,197209
ICAHN CARL C,Welbilt Inc,WBT,2017-03-31,SH,10582660.0,207738000.0,10582660.0,204563000.0,1.042,0.9143,14,14,0.0,,INDUSTRIALS,195119
ICAHN CARL C,Manitowoc Co. Inc.,MTW,2017-03-31,SH,2645665.0,60321000.0,2645665.0,63284000.0,0.3026,0.2829,15,17,0.0,,INDUSTRIALS,11352
ICAHN CARL C,CVR Refining LP,CVRR,2017-03-31,SH,5750000.0,54338000.0,5750000.0,59800000.0,0.2725,0.2673,16,18,0.0,,MATERIALS,134821
ICAHN CARL C,Federalmogul Hol,FDML,2017-03-31,SH,0.0,0.0,138590141.0,1428864000.0,,6.3864,999999,4,-100.0,soldall,CONSUMER DISCRETIONARY,72669
ICAHN CARL C,Allergan Plc,AGN,2017-03-31,SH,0.0,0.0,425438.0,89346000.0,,0.3993,999999,16,-100.0,soldall,HEALTH CARE,138708
ICAHN CARL C,Nuance Communications Inc.,NUAN,2017-03-31,SH,0.0,0.0,21226702.04,273834000.0,,1.2239,999999,13,-100.0,soldall,INFORMATION TECHNOLOGY,569
