Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector,stock_id
LONE PINE CAPITAL LLC,Apollo Group,APOL,2005-03-31,SH,8041754.0,595572000.0,6117135.0,493714000.0,8.0914,8.2728,1,1,31.462752,addition,CONSUMER DISCRETIONARY,2826
LONE PINE CAPITAL LLC,Alphabet Inc. Class A,GOOGL,2005-03-31,SH,48180660.0,434855000.0,12049120.0,116147000.0,5.9079,1.9462,2,17,299.868704,addition,COMMUNICATIONS,4112
LONE PINE CAPITAL LLC,UnitedHealth Group Inc.,UNH,2005-03-31,SH,8584400.0,409390000.0,6984800.0,307436000.0,5.562,5.1515,3,2,22.901157,addition,HEALTH CARE,153
LONE PINE CAPITAL LLC,America Movil S.A.B.DE C.V.,AMX,2005-03-31,SH,36204978.0,311363000.0,27315600.0,238329000.0,4.2302,3.9935,4,4,32.543228,addition,UTILITIES AND TELECOMMUNICATIONS,3509
LONE PINE CAPITAL LLC,Blackberry Ltd,BB,2005-03-31,SH,10644174.0,271143000.0,5151900.0,141540000.0,3.6837,2.3717,5,12,106.606766,addition,INFORMATION TECHNOLOGY,21
LONE PINE CAPITAL LLC,Golden West Financial,GDW,2005-03-31,SH,4069900.0,246229000.0,2252400.0,138342000.0,3.3453,2.3181,6,14,80.691707,addition,FINANCE,100976
LONE PINE CAPITAL LLC,SLM Corp,SLM,2005-03-31,SH,4680900.0,233296000.0,3304000.0,176401000.0,3.1696,2.9558,7,7,41.673729,addition,FINANCE,892
LONE PINE CAPITAL LLC,Apple Inc,AAPL,2005-03-31,SH,155327620.0,231161000.0,88306400.0,101552000.0,3.1405,1.7016,8,22,75.89622,addition,INFORMATION TECHNOLOGY,195
LONE PINE CAPITAL LLC,NII HOLDINGS INC CL,NIHDQ,2005-03-31,SH,7906314.0,227307000.0,6433878.0,152644000.0,3.0882,2.5577,9,8,22.885669,addition,COMMUNICATIONS,4822
LONE PINE CAPITAL LLC,Bed Bath & Beyond Inc.,BBBYQ,2005-03-31,SH,6055251.0,221259000.0,3714285.0,147940000.0,3.006,2.4789,10,9,63.02602,addition,CONSUMER DISCRETIONARY,755
LONE PINE CAPITAL LLC,JPMorgan Chase & Co. (Chemical Bank),JPM,2005-03-31,SH,6036861.0,208875000.0,3788161.0,147776000.0,2.8378,2.4762,11,10,59.361257,addition,FINANCE,240
LONE PINE CAPITAL LLC,Centex Corp.,CTX,2005-03-31,SH,3539500.0,202707000.0,0.0,0.0,2.754,,12,999999,,new,CONSUMER DISCRETIONARY,1053
LONE PINE CAPITAL LLC,Lennar Corp. Class A,LEN,2005-03-31,SH,3585230.1,199814000.0,3609027.9,201140000.0,2.7147,3.3704,13,6,-0.659396,reduction,CONSUMER DISCRETIONARY,4889
LONE PINE CAPITAL LLC,CareMark RX Inc.,CMX,2005-03-31,SH,4919826.0,195711000.0,5522226.0,217741000.0,2.6589,3.6485,14,5,-10.908644,reduction,HEALTH CARE,99273
LONE PINE CAPITAL LLC,Chesapeake Energy Corp,CHKAQ,2005-03-31,SH,44533.5,195413000.0,31442.5,103760000.0,2.6549,1.7386,15,21,41.63473,addition,ENERGY,3533
LONE PINE CAPITAL LLC,Best Buy Co. Inc.,BBY,2005-03-31,SH,4569750.0,164541000.0,3714000.0,147124000.0,2.2354,2.4652,16,11,23.041195,addition,CONSUMER DISCRETIONARY,208
LONE PINE CAPITAL LLC,Strategic Education Inc. (Strayer Education),STRA,2005-03-31,SH,1406991.0,159440000.0,1221551.0,134114000.0,2.1661,2.2472,17,15,15.180701,addition,CONSUMER DISCRETIONARY,3456
LONE PINE CAPITAL LLC,Pultegroup Inc,PHM,2005-03-31,SH,4053200.0,149219000.0,3914000.0,124857000.0,2.0273,2.0921,18,16,3.556464,addition,CONSUMER DISCRETIONARY,3654
LONE PINE CAPITAL LLC,QUALCOMM Inc.,QCOM,2005-03-31,SH,4054115.0,148502000.0,1742769.0,73893000.0,2.0175,1.2382,19,30,132.62492,addition,INFORMATION TECHNOLOGY,273
LONE PINE CAPITAL LLC,Ryland Group Inc.,RYL,2005-03-31,SH,2385500.0,147949000.0,1949200.0,112157000.0,2.01,1.8793,20,18,22.383542,addition,CONSUMER DISCRETIONARY,3503
LONE PINE CAPITAL LLC,Dell Inc.,DELL,2005-03-31,SH,3603877.0,138461000.0,2613877.0,110149000.0,1.8811,1.8457,21,19,37.874774,addition,INFORMATION TECHNOLOGY,7
LONE PINE CAPITAL LLC,Brown & Brown Inc.,BRO,2005-03-31,SH,11798400.0,135947000.0,10056000.0,109485000.0,1.847,1.8346,22,20,17.326969,addition,FINANCE,759
