Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector,stock_id
LONE PINE CAPITAL LLC,Alibaba Group Holding Ltd ADR,BABA,2017-09-30,SH,8815009.0,1522440000.0,11666798.0,1643852000.0,7.403,8.3559,1,1,-24.443631,reduction,COMMUNICATIONS,173707
LONE PINE CAPITAL LLC,Constellation Brands Inc.,STZ,2017-09-30,SH,7076082.0,1411325000.0,6576776.0,1274119000.0,6.8627,6.4765,2,3,7.591957,addition,CONSUMER STAPLES,4020
LONE PINE CAPITAL LLC,Charter Communications Inc,CHTR,2017-09-30,SH,3660652.0,1330354000.0,4353832.0,1466588000.0,6.469,7.4548,3,2,-15.921147,reduction,COMMUNICATIONS,87254
LONE PINE CAPITAL LLC,Activision Blizzard Inc,ATVI,2017-09-30,SH,19839465.0,1279844000.0,21535165.0,1239779000.0,6.2233,6.3019,4,4,-7.874098,reduction,INFORMATION TECHNOLOGY,11336
LONE PINE CAPITAL LLC,Comcast Corp.  Class A,CMCSA,2017-09-30,SH,32595590.0,1254278000.0,20438394.0,795462000.0,6.099,4.0434,5,9,59.482149,addition,COMMUNICATIONS,3995
LONE PINE CAPITAL LLC,Broadcom Ltd. (Avago Technologies),AVGO,2017-09-30,SH,5090360.0,1234616000.0,5319591.0,1239731000.0,6.0034,6.3017,6,5,-4.309185,reduction,INFORMATION TECHNOLOGY,81122
LONE PINE CAPITAL LLC,IQVIA Holdings Inc,IQV,2017-09-30,SH,10055780.0,956003000.0,10055780.0,899992000.0,4.6486,4.5748,7,8,0.0,,HEALTH CARE,174607
LONE PINE CAPITAL LLC,UnitedHealth Group Inc.,UNH,2017-09-30,SH,4402726.0,862274000.0,1705353.0,316207000.0,4.1929,1.6073,8,24,158.170948,addition,HEALTH CARE,153
LONE PINE CAPITAL LLC,Meta Platforms Inc,META,2017-09-30,SH,5032256.0,859862000.0,6168049.0,931252000.0,4.1812,4.7337,9,7,-18.414137,reduction,COMMUNICATIONS,123861
LONE PINE CAPITAL LLC,Microsoft Corp.,MSFT,2017-09-30,SH,11329847.0,843960000.0,9687742.0,667776000.0,4.1038,3.3944,10,11,16.950338,addition,INFORMATION TECHNOLOGY,178
LONE PINE CAPITAL LLC,Booking Holdings Inc. (Priceline),BKNG,2017-09-30,SH,407409.0,745893000.0,0.0,0.0,3.627,,11,999999,,new,CONSUMER DISCRETIONARY,4288
LONE PINE CAPITAL LLC,Expedia Group Inc,EXPE,2017-09-30,SH,4656018.0,670187000.0,4523614.0,673792000.0,3.2588,3.425,12,10,2.926952,addition,CONSUMER DISCRETIONARY,936
LONE PINE CAPITAL LLC,Mastercard Inc,MA,2017-09-30,SH,4487369.0,633617000.0,4641369.0,563694000.0,3.081,2.8653,13,14,-3.317987,reduction,FINANCE,4044
LONE PINE CAPITAL LLC,ServiceNow Inc,NOW,2017-09-30,SH,5271621.0,619574000.0,3220940.0,341420000.0,3.0127,1.7355,14,23,63.667159,addition,INFORMATION TECHNOLOGY,129285
LONE PINE CAPITAL LLC,Intercontinental Exchange Inc,ICE,2017-09-30,SH,8749665.0,601102000.0,6356905.0,419047000.0,2.9229,2.1301,15,20,37.64033,addition,FINANCE,2811
LONE PINE CAPITAL LLC,Adobe Systems Inc.,ADBE,2017-09-30,SH,3931896.0,586560000.0,3931896.0,556127000.0,2.8522,2.8269,16,16,0.0,,INFORMATION TECHNOLOGY,4294
LONE PINE CAPITAL LLC,Salesforce.com Inc.,CRM,2017-09-30,SH,6270806.0,585819000.0,2648428.0,229354000.0,2.8486,1.1658,17,29,136.774645,addition,INFORMATION TECHNOLOGY,6241
LONE PINE CAPITAL LLC,TransUnion,TRU,2017-09-30,SH,12345757.0,583460000.0,8905062.0,385678000.0,2.8371,1.9604,18,22,38.637519,addition,INFORMATION TECHNOLOGY,178106
LONE PINE CAPITAL LLC,Equinix Inc,EQIX,2017-09-30,SH,1273652.0,568431000.0,1273652.0,546600000.0,2.764,2.7784,19,17,0.0,,INFORMATION TECHNOLOGY,4818
LONE PINE CAPITAL LLC,Grupo Televisa S.A. GDR,TV,2017-09-30,SH,20843467.0,514208000.0,20535367.0,500447000.0,2.5004,2.5438,20,18,1.500338,addition,COMMUNICATIONS,5537
LONE PINE CAPITAL LLC,Electronic Arts Inc.,EA,2017-09-30,SH,4234102.0,499878000.0,0.0,0.0,2.4307,,21,999999,,new,INFORMATION TECHNOLOGY,1017
LONE PINE CAPITAL LLC,PayPal Holdings Inc,PYPL,2017-09-30,SH,6713230.0,429848000.0,0.0,0.0,2.0902,,22,999999,,new,COMMUNICATIONS,178356
LONE PINE CAPITAL LLC,MercadoLibre Inc,MELI,2017-09-30,SH,1630524.0,422192000.0,0.0,0.0,2.0529,,23,999999,,new,COMMUNICATIONS,5468
LONE PINE CAPITAL LLC,Wynn Resorts Ltd,WYNN,2017-09-30,SH,2680127.0,399125000.0,0.0,0.0,1.9408,,24,999999,,new,CONSUMER DISCRETIONARY,839
LONE PINE CAPITAL LLC,T-Mobile US Inc,TMUS,2017-09-30,SH,4561573.0,281267000.0,7123517.0,431828000.0,1.3677,2.195,25,19,-35.964594,reduction,UTILITIES AND TELECOMMUNICATIONS,140861
LONE PINE CAPITAL LLC,Charter Communications Inc,CHTR,2017-09-30,CALL,700000.0,254394000.0,0.0,0.0,1.237,,26,999999,,new,COMMUNICATIONS,87254
LONE PINE CAPITAL LLC,Advance Auto Parts Inc.,AAP,2017-09-30,SH,2358917.0,234005000.0,2048852.0,238876000.0,1.1379,1.2142,27,28,15.133597,addition,CONSUMER DISCRETIONARY,3562
LONE PINE CAPITAL LLC,Worldpay Inc Class A,WP,2017-09-30,SH,2291437.0,161478000.0,0.0,0.0,0.7852,,28,999999,,new,INDUSTRIALS,120483
LONE PINE CAPITAL LLC,FleetCor Technologies Inc,FLT,2017-09-30,SH,801482.0,124045000.0,6555504.0,945369000.0,0.6032,4.8054,29,6,-87.773907,reduction,INFORMATION TECHNOLOGY,106914
LONE PINE CAPITAL LLC,Anheuser-Busch Inbev SA ADR,BUD,2017-09-30,SH,715551.0,85365000.0,0.0,0.0,0.4151,,30,999999,,new,CONSUMER STAPLES,372
LONE PINE CAPITAL LLC,iPath S&P 500 VIX Short-Term Futures ETN due 1/30/2019,VXX,2017-09-30,SH,250000.0,9798000.0,250000.0,12760000.0,0.0476,0.0649,31,33,0.0,,FINANCE,76716
LONE PINE CAPITAL LLC,OReilly Automotive Inc.,ORLY,2017-09-30,SH,0.0,0.0,2841170.0,621478000.0,,3.159,999999,12,-100.0,soldall,CONSUMER DISCRETIONARY,5148
LONE PINE CAPITAL LLC,Albemarle Corp.,ALB,2017-09-30,SH,0.0,0.0,1158452.0,122263000.0,,0.6215,999999,31,-100.0,soldall,MATERIALS,748
LONE PINE CAPITAL LLC,Gen Digital Inc,GEN,2017-09-30,SH,0.0,0.0,21085032.0,595652000.0,,3.0278,999999,13,-100.0,soldall,INFORMATION TECHNOLOGY,466
LONE PINE CAPITAL LLC,Arista Networks Inc,ANET,2017-09-30,SH,0.0,0.0,7382552.0,276458000.0,,1.4053,999999,25,-100.0,soldall,INFORMATION TECHNOLOGY,170474
LONE PINE CAPITAL LLC,Formula One Group,FWONK,2017-09-30,SH,0.0,0.0,2969453.89,106924000.0,,0.5435,999999,32,-100.0,soldall,COMMUNICATIONS,172812
LONE PINE CAPITAL LLC,CSX Corp,CSX,2017-09-30,SH,0.0,0.0,30944604.0,562779000.0,,2.8607,999999,15,-100.0,soldall,TRANSPORTS,220
LONE PINE CAPITAL LLC,Ulta Beauty Inc,ULTA,2017-09-30,SH,0.0,0.0,1438673.0,413388000.0,,2.1013,999999,21,-100.0,soldall,CONSUMER DISCRETIONARY,8297
LONE PINE CAPITAL LLC,Cheniere Energy Inc,LNG,2017-09-30,SH,0.0,0.0,5186332.0,252626000.0,,1.2841,999999,27,-100.0,soldall,ENERGY,6901
LONE PINE CAPITAL LLC,Snap Inc Class A,SNAP,2017-09-30,SH,0.0,0.0,7599408.0,130487000.0,,0.6633,999999,30,-100.0,soldall,UTILITIES AND TELECOMMUNICATIONS,198512
LONE PINE CAPITAL LLC,Altice USA Inc,ATUS,2017-09-30,SH,0.0,0.0,8395511.0,271175000.0,,1.3784,999999,26,-100.0,soldall,CONSUMER DISCRETIONARY,199169
