Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector,stock_id
"PERSHING SQUARE CAPITAL MANAGEMENT, L.P.",Target Corp.,TGT,2009-06-30,SH,24873329.0,981750000.0,24873329.0,855394000.0,43.2789,42.8467,1,1,0.0,,CONSUMER DISCRETIONARY,305
"PERSHING SQUARE CAPITAL MANAGEMENT, L.P.",Global X Emerging Markets Great Consumer ETF-,EMC,2009-06-30,SH,58678780.0,768692000.0,58619033.0,668257000.0,33.8866,33.473,2,2,0.101924,addition,INFORMATION TECHNOLOGY,398
"PERSHING SQUARE CAPITAL MANAGEMENT, L.P.",Automatic Data Processing Inc,ADP,2009-06-30,SH,7258302.0,257234000.0,0.0,0.0,11.3398,,3,999999,,new,INFORMATION TECHNOLOGY,201
"PERSHING SQUARE CAPITAL MANAGEMENT, L.P.",McDonalds Corp.,MCD,2009-06-30,SH,2400000.0,137976000.0,0.0,0.0,6.0825,,4,999999,,new,CONSUMER DISCRETIONARY,250
"PERSHING SQUARE CAPITAL MANAGEMENT, L.P.",Target Corp.,TGT,2009-06-30,CALL,2012800.0,79445000.0,2012800.0,69220000.0,3.5022,3.4672,5,5,0.0,,CONSUMER DISCRETIONARY,305
"PERSHING SQUARE CAPITAL MANAGEMENT, L.P.",Borders Group Inc.,BGPIQ,2009-06-30,SH,10597980.0,39001000.0,10597980.0,6677000.0,1.7193,0.3345,6,9,0.0,,CONSUMER DISCRETIONARY,5056
"PERSHING SQUARE CAPITAL MANAGEMENT, L.P.",Greenlight Capital Re Ltd.,GLRE,2009-06-30,SH,250000.0,4328000.0,250000.0,3993000.0,0.1908,0.2,7,10,0.0,,FINANCE,6676
"PERSHING SQUARE CAPITAL MANAGEMENT, L.P.",General Growth Properties Inc. (DE),GGP,2009-06-30,SH,0.0,0.0,23261369.0,16516000.0,,0.8273,999999,8,-100.0,soldall,REAL ESTATE,230
"PERSHING SQUARE CAPITAL MANAGEMENT, L.P.",Yum! Brands Inc. (Tricon Global Restaurants),YUM,2009-06-30,SH,0.0,0.0,1554315.0,42712000.0,,2.1394,999999,7,-100.0,soldall,CONSUMER DISCRETIONARY,479
"PERSHING SQUARE CAPITAL MANAGEMENT, L.P.",Alexanders Inc.,ALX,2009-06-30,SH,0.0,0.0,8205.0,1398000.0,,0.07,999999,12,-100.0,soldall,REAL ESTATE,2542
"PERSHING SQUARE CAPITAL MANAGEMENT, L.P.",Apartment Investment and Management Co,AIV,2009-06-30,SH,0.0,0.0,60959159.99,44535000.0,,2.2308,999999,6,-100.0,soldall,REAL ESTATE,4261
"PERSHING SQUARE CAPITAL MANAGEMENT, L.P.",SAKS Inc.,SKS,2009-06-30,SH,0.0,0.0,1330841.0,2489000.0,,0.1247,999999,11,-100.0,soldall,CONSUMER DISCRETIONARY,5164
"PERSHING SQUARE CAPITAL MANAGEMENT, L.P.",Wendys Co. (The),WEN,2009-06-30,SH,0.0,0.0,32324580.0,162593000.0,,8.1443,999999,3,-100.0,soldall,CONSUMER DISCRETIONARY,11361
"PERSHING SQUARE CAPITAL MANAGEMENT, L.P.",VISA Inc,V,2009-06-30,SH,0.0,0.0,8821856.0,122624000.0,,6.1422,999999,4,-100.0,soldall,FINANCE,45920
