Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector,stock_id
SOROS FUND MANAGEMENT LLC,SPDR S&P 500 ETF TRUST,SPY,2013-12-31,PUT,7090000.0,1309311000.0,2794100.0,469688000.0,11.1196,5.1364,1,1,153.748971,addition,FINANCE,3962
SOROS FUND MANAGEMENT LLC,The Energy Select Sector SPDR Fund-,XLE,2013-12-31,PUT,4500000.0,398295000.0,0.0,0.0,3.3826,,2,999999,,new,ENERGY,4145
SOROS FUND MANAGEMENT LLC,Teva Pharmaceutical Industries Ltd ADR,TEVA,2013-12-31,SH,9316000.0,373386000.0,3608000.0,136311000.0,3.1711,1.4907,3,20,158.203991,addition,HEALTH CARE,3839
SOROS FUND MANAGEMENT LLC,TIBCO Software Inc.,TIBX,2013-12-31,PRN,308614000.0,310736000.0,300114000.0,306304000.0,2.639,3.3496,4,4,2.832257,addition,INFORMATION TECHNOLOGY,974
SOROS FUND MANAGEMENT LLC,Global X Autonomous & Electric Vehicles ETF-,DRIV,2013-12-31,PRN,276558000.0,275542000.0,276558000.0,275190000.0,2.3401,3.0094,5,6,0.0,,MUTUAL FUND,4994
SOROS FUND MANAGEMENT LLC,WebMD Health Corp,WBMD,2013-12-31,PRN,262298000.0,262609000.0,286530000.0,283988000.0,2.2303,3.1056,6,5,-8.457055,reduction,HEALTH CARE,838
SOROS FUND MANAGEMENT LLC,Herbalife Nutrition Ltd,HLF,2013-12-31,SH,6411038.0,252275000.0,10078350.0,351583000.0,2.1425,3.8448,7,3,-36.38802,reduction,HEALTH CARE,2417
SOROS FUND MANAGEMENT LLC,FedEx Corporation,FDX,2013-12-31,SH,1619091.0,232776000.0,1515730.0,172960000.0,1.9769,1.8914,8,15,6.819222,addition,TRANSPORTS,485
SOROS FUND MANAGEMENT LLC,Halliburton Co.,HAL,2013-12-31,SH,4536825.0,230244000.0,1961335.0,94438000.0,1.9554,1.0327,9,28,131.313111,addition,ENERGY,411
SOROS FUND MANAGEMENT LLC,EQT Corporation (Equitable Gas Co.),EQT,2013-12-31,SH,2492198.0,223749000.0,1859256.0,164954000.0,1.9002,1.8039,10,16,34.042757,addition,UTILITIES AND TELECOMMUNICATIONS,3739
SOROS FUND MANAGEMENT LLC,Hologic Inc.,HOLX,2013-12-31,PRN,211367000.0,222464000.0,232798000.0,242730000.0,1.8893,2.6544,11,7,-9.205835,reduction,HEALTH CARE,664
SOROS FUND MANAGEMENT LLC,Tivo Corporation,TIVO,2013-12-31,PRN,209029000.0,211642000.0,196174000.0,198136000.0,1.7974,2.1668,12,11,6.552856,addition,INFORMATION TECHNOLOGY,51057
SOROS FUND MANAGEMENT LLC,Adecoagro S.A.,AGRO,2013-12-31,SH,25915076.0,209653000.0,25915076.0,192031000.0,1.7805,2.1,13,12,0.0,,CONSUMER STAPLES,111253
SOROS FUND MANAGEMENT LLC,General Motors Co,GM,2013-12-31,SH,4900239.0,200273000.0,1283000.0,46149000.0,1.7009,0.5047,14,49,281.936009,addition,CONSUMER DISCRETIONARY,107357
