Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector,stock_id
"TRIAN FUND MANAGEMENT, L.P.",Family Dollar Stores Inc.,FDO,2012-06-30,SH,9967564.0,662644000.0,9966201.0,630661000.0,21.3328,16.0349,1,2,0.013676,addition,CONSUMER DISCRETIONARY,2705
"TRIAN FUND MANAGEMENT, L.P.",Trane Technologies Plc,TT,2012-06-30,SH,13470668.0,568193000.0,5986407.0,247538000.0,18.2921,6.2938,2,7,125.020918,addition,INDUSTRIALS,3496
"TRIAN FUND MANAGEMENT, L.P.",State Street Corp. (State Street Bank & Trust Co. Boston MA),STT,2012-06-30,SH,9843416.0,439410000.0,9843416.0,447876000.0,14.1461,11.3875,3,4,0.0,,FINANCE,281
"TRIAN FUND MANAGEMENT, L.P.",Mondelez International Inc. (Kraft Foods),MDLZ,2012-06-30,SH,10481319.0,404789000.0,12401319.0,471374000.0,13.0315,11.985,4,3,-15.482224,reduction,CONSUMER STAPLES,3785
"TRIAN FUND MANAGEMENT, L.P.",Wendys Co. (The),WEN,2012-06-30,SH,83000245.0,391761000.0,83000245.0,415831000.0,12.6121,10.5727,5,5,0.0,,CONSUMER DISCRETIONARY,11361
"TRIAN FUND MANAGEMENT, L.P.",Legg Mason Inc.,LM,2012-06-30,SH,14702269.0,387699000.0,14702269.0,410634000.0,12.4814,10.4406,6,6,0.0,,FINANCE,2833
"TRIAN FUND MANAGEMENT, L.P.",Lazard Inc.,LAZ,2012-06-30,SH,5598980.0,145517000.0,5598980.0,159907000.0,4.6847,4.0657,7,9,0.0,,FINANCE,6025
"TRIAN FUND MANAGEMENT, L.P.",Tiffany & Co. (DE),TIF,2012-06-30,SH,1386313.0,73405000.0,2765311.0,191166000.0,2.3632,4.8605,8,8,-49.867736,reduction,CONSUMER DISCRETIONARY,3676
"TRIAN FUND MANAGEMENT, L.P.",Heinz (H.J.) Co.,HNZ,2012-06-30,SH,603250.0,32805000.0,603250.0,32304000.0,1.0561,0.8213,9,12,0.0,,CONSUMER STAPLES,413
"TRIAN FUND MANAGEMENT, L.P.",Dominos Pizza Inc,DPZ,2012-06-30,SH,0.0,0.0,4150000.0,150645000.0,,3.8302,999999,10,-100.0,soldall,CONSUMER DISCRETIONARY,776
"TRIAN FUND MANAGEMENT, L.P.",SPDR S&P 500 ETF TRUST,SPY,2012-06-30,PUT,0.0,0.0,5155000.0,725876000.0,,18.4558,999999,1,-100.0,soldall,FINANCE,3962
"TRIAN FUND MANAGEMENT, L.P.",United States Oil Fund,USO,2012-06-30,SH,0.0,0.0,156875.0,49234000.0,,1.2518,999999,11,-100.0,soldall,FINANCE,7651
