Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector,stock_id
THIRD POINT LLC,Prudential Financial Inc,PRU,2002-06-30,SH,1305000.0,43535000.0,1280000.0,39744000.0,12.3684,12.0467,1,1,1.953125,addition,FINANCE,3652
THIRD POINT LLC,PotlatchDeltic Corp,PCH,2002-06-30,SH,868900.0,29560000.0,656800.0,22128000.0,8.3981,6.7072,2,3,32.292935,addition,REAL ESTATE,2582
THIRD POINT LLC,Stage Stores Inc,SSINQ,2002-06-30,SH,1723160.25,26606000.0,1800000.0,21264000.0,7.5588,6.4453,3,4,-4.268875,reduction,CONSUMER DISCRETIONARY,822
THIRD POINT LLC,PENN VIRGINIA CORP,PVAH,2002-06-30,SH,1200000.0,23388000.0,1000000.0,20075000.0,6.6446,6.0849,4,5,20.0,addition,ENERGY,6415
THIRD POINT LLC,AT&T Corp.,T,2002-06-30,SH,405000.0,21668000.0,0.0,0.0,6.1559,,5,999999,,new,COMMUNICATIONS,106868
THIRD POINT LLC,Saxon Capital Inc (MD),SAX,2002-06-30,SH,1060000.0,17225000.0,1000000.0,14940000.0,4.8937,4.5284,7,8,6.0,addition,FINANCE,104771
THIRD POINT LLC,Visteon Corp. (Old),VSTNQ,2002-06-30,SH,1170000.0,16614000.0,1170000.0,19364000.0,4.7201,5.8694,8,6,0.0,,CONSUMER DISCRETIONARY,5808
THIRD POINT LLC,FBR Asset Investment Corp.,FB,2002-06-30,SH,400000.0,13340000.0,100000.0,2720000.0,3.7899,0.8245,9,27,300.0,addition,FINANCE,100531
THIRD POINT LLC,Insignia Financial GP Inc,IFS,2002-06-30,SH,1117400.0,10861000.0,1117400.0,12794000.0,3.0856,3.878,10,10,0.0,,INDUSTRIALS,101718
THIRD POINT LLC,Local Financial Corp.,LFIN,2002-06-30,SH,600000.0,9810000.0,425024.0,8440000.0,2.7871,2.5582,11,13,41.168499,addition,FINANCE,102422
THIRD POINT LLC,New Century Financial Corp. 9.125% Series A Cumul Redeem Preferred Stock,NEWCQPRA,2002-06-30,SH,265000.0,9256000.0,0.0,0.0,2.6297,,12,999999,,new,FINANCE,13808
THIRD POINT LLC,Collins & Aikman Corp (New),CKCRQ,2002-06-30,SH,925000.0,8418000.0,0.0,0.0,2.3916,,13,999999,,new,CONSUMER DISCRETIONARY,99156
THIRD POINT LLC,Kindred Healthcare Inc,KND,2002-06-30,SH,370000.0,8221000.0,370000.0,7493000.0,2.3356,2.2712,14,15,0.0,,HEALTH CARE,45660
THIRD POINT LLC,PG&E Corp. (Pacific Gas & Electric),PCG,2002-06-30,SH,438000.0,7836000.0,418000.0,9848000.0,2.2262,2.985,15,12,4.784689,addition,UTILITIES AND TELECOMMUNICATIONS,4367
THIRD POINT LLC,Fidelity National Financial Inc.,FNF-DEL1,2002-06-30,SH,210657.0,6657000.0,60600.0,1598000.0,1.8913,0.4844,16,32,247.618812,addition, ,107142
THIRD POINT LLC,Smucker (J.M.) Co.,SJM,2002-06-30,SH,183200.0,6253000.0,0.0,0.0,1.7765,,17,999999,,new,CONSUMER STAPLES,4381
THIRD POINT LLC,Principal Financial Group,PFG,2002-06-30,SH,200000.0,6200000.0,200000.0,5060000.0,1.7614,1.5337,18,20,0.0,,FINANCE,340
THIRD POINT LLC,Genesis HealthCare Corp,GHCI,2002-06-30,SH,300000.0,6027000.0,300000.0,5451000.0,1.7123,1.6522,19,19,0.0,,HEALTH CARE,101029
THIRD POINT LLC,Lufkin Industries Inc.,LUFK,2002-06-30,SH,746000.0,5377000.0,0.0,0.0,1.5276,,20,999999,,new,ENERGY,6185
THIRD POINT LLC,American Physicians Capital Inc,ACAP,2002-06-30,SH,587585.31,5377000.0,587585.31,5729000.0,1.5276,1.7365,21,17,0.0,,FINANCE,6308
THIRD POINT LLC,Bard (C.R.) Inc.,BCR,2002-06-30,SH,181800.0,5143000.0,485000.0,14320000.0,1.4611,4.3405,22,9,-62.515464,reduction,HEALTH CARE,376
THIRD POINT LLC,ChemFirst Inc.,CEM,2002-06-30,SH,176900.0,5068000.0,176900.0,4732000.0,1.4398,1.4343,23,21,0.0,,MATERIALS,109512
THIRD POINT LLC,Ceres Group Inc,CERG,2002-06-30,SH,1000000.0,3880000.0,1000000.0,4450000.0,1.1023,1.3488,24,23,0.0,,FINANCE,98965
THIRD POINT LLC,Advanta Corp. Class B,ADVNQB,2002-06-30,SH,532500.0,3877000.0,590100.0,4662000.0,1.1015,1.4131,25,22,-9.761057,reduction,FINANCE,4275
THIRD POINT LLC,Enterasys Networks,ETS,2002-06-30,SH,247425.0,3523000.0,115300.0,3902000.0,1.0009,1.1827,26,24,114.592368,addition,INFORMATION TECHNOLOGY,100420
THIRD POINT LLC,SPDR SSGA Aggressive Global Allocation ETF-SPDR SSGA Aggressive Global Allocation ETF,AGRA,2002-06-30,SH,2500000.0,3500000.0,0.0,0.0,0.9944,,27,999999,,new,INFORMATION TECHNOLOGY,97424
THIRD POINT LLC,Patina Oil & Gas Corp.,POG,2002-06-30,SH,125123.0,3432000.0,100100.0,3155000.0,0.975,0.9563,28,26,24.998002,addition,ENERGY,104110
THIRD POINT LLC,Trizec Hahn Corporation,TZH,2002-06-30,SH,182215.0,3072000.0,700000.0,11081000.0,0.8728,3.3587,29,11,-73.969286,reduction,FINANCE,106079
THIRD POINT LLC,Biotransplant Inc.,BTRN,2002-06-30,SH,1219998.0,2830000.0,0.0,0.0,0.804,,30,999999,,new,HEALTH CARE,107821
THIRD POINT LLC,Bindview Development Corp.,BVEW,2002-06-30,SH,2590300.0,2720000.0,2590300.0,5543000.0,0.7728,1.6801,31,18,0.0,,INFORMATION TECHNOLOGY,98700
THIRD POINT LLC,Sonera Corp. ADR,SNRAY,2002-06-30,SH,560330.0,2144000.0,0.0,0.0,0.6091,,32,999999,,new,COMMUNICATIONS,105187
THIRD POINT LLC,Lincoln National Corp.,LNC,2002-06-30,SH,50000.0,2100000.0,0.0,0.0,0.5966,,33,999999,,new,FINANCE,425
THIRD POINT LLC,Siliconix Inc.,SILI,2002-06-30,SH,70100.0,1941000.0,81400.0,2401000.0,0.5514,0.7278,34,28,-13.882064,reduction,INFORMATION TECHNOLOGY,105025
THIRD POINT LLC,Cray Inc.,CRAY,2002-06-30,SH,63150.0,1129000.0,63150.0,571000.0,0.3208,0.1731,35,43,0.0,,INFORMATION TECHNOLOGY,6120
THIRD POINT LLC,Endo International plc,ENDPQ,2002-06-30,SH,160900.0,1121000.0,160900.0,1609000.0,0.3185,0.4877,36,31,0.0,,HEALTH CARE,5081
