Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector,stock_id
THIRD POINT LLC,Altaba Inc. (Yahoo),AABA,2012-03-31,SH,70500400.0,1073016000.0,56000700.0,903291000.0,26.4238,36.1756,1,1,25.891998,addition,FINANCE,2412
THIRD POINT LLC,Aptiv PLC,APTV,2012-03-31,SH,15914275.22,417990000.0,0.0,0.0,10.2933,,2,999999,,new,INDUSTRIALS,115728
THIRD POINT LLC,Hillshire Brands,HSH,2012-03-31,SH,2055000.0,221221000.0,1560000.0,147576000.0,5.4477,5.9102,3,2,31.730769,addition,CONSUMER STAPLES,128464
THIRD POINT LLC,Apple Inc,AAPL,2012-03-31,SH,10136000.0,217037000.0,0.0,0.0,5.3447,,4,999999,,new,INFORMATION TECHNOLOGY,195
THIRD POINT LLC,Raytheon Technologies Corp. (United Technologies),RTX,2012-03-31,SH,3495800.0,182468000.0,0.0,0.0,4.4934,,5,999999,,new,INDUSTRIALS,285
THIRD POINT LLC,Alphabet Inc. Class A,GOOGL,2012-03-31,SH,5600000.0,179547000.0,0.0,0.0,4.4215,,6,999999,,new,COMMUNICATIONS,4112
THIRD POINT LLC,Marvell Technology Group Ltd,MRVL,2012-03-31,SH,9250000.0,145503000.0,10000000.0,138500000.0,3.5831,5.5467,7,4,-7.5,reduction,INFORMATION TECHNOLOGY,3999
THIRD POINT LLC,Medco Health Solutions Inc.,MHS,2012-03-31,SH,2000000.0,140600000.0,0.0,0.0,3.4624,,8,999999,,new,HEALTH CARE,430
THIRD POINT LLC,Family Dollar Stores Inc.,FDO,2012-03-31,SH,2150000.0,136052000.0,0.0,0.0,3.3504,,9,999999,,new,CONSUMER DISCRETIONARY,2705
THIRD POINT LLC,Capital One Financial Corp,COF,2012-03-31,SH,2150000.0,119841000.0,0.0,0.0,2.9512,,10,999999,,new,FINANCE,3587
THIRD POINT LLC,El Paso Corp.,EP,2012-03-31,SH,4000000.0,118200000.0,5550000.0,147464000.0,2.9108,5.9057,11,3,-27.927928,reduction,ENERGY,644
THIRD POINT LLC,Cisco Systems Inc.,CSCO,2012-03-31,SH,5000000.0,105750000.0,0.0,0.0,2.6042,,12,999999,,new,INFORMATION TECHNOLOGY,215
THIRD POINT LLC,Abercrombie & Fitch Co.,ANF,2012-03-31,SH,1850000.0,91778000.0,0.0,0.0,2.2601,,13,999999,,new,CONSUMER DISCRETIONARY,4063
THIRD POINT LLC,Wells Fargo & Co.  (Northwest Bancorporation),WFC,2012-03-31,SH,2550000.0,87057000.0,0.0,0.0,2.1438,,14,999999,,new,FINANCE,309
THIRD POINT LLC,Teradyne Inc,TER,2012-03-31,SH,5000000.0,84450000.0,0.0,0.0,2.0796,,15,999999,,new,INFORMATION TECHNOLOGY,959
THIRD POINT LLC,Express Scripts Inc.,ESRX,2012-03-31,SH,1500000.0,81270000.0,0.0,0.0,2.0013,,16,999999,,new,HEALTH CARE,11326
THIRD POINT LLC,Pioneer Natural Resources Co.,PXD,2012-03-31,SH,650000.0,72534000.0,0.0,0.0,1.7862,,17,999999,,new,ENERGY,2612
THIRD POINT LLC,Devon Energy Corp.,DVN,2012-03-31,SH,1000000.0,71120000.0,0.0,0.0,1.7514,,18,999999,,new,ENERGY,3594
THIRD POINT LLC,Weatherford International plc,WFTIQ,2012-03-31,SH,4600000.0,69414000.0,0.0,0.0,1.7094,,19,999999,,new,ENERGY,2531
