Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector,stock_id
TIGER GLOBAL MANAGEMENT LLC,Alphabet Inc. Class A,GOOGL,2007-06-30,SH,11845000.0,309569000.0,6894640.0,157942000.0,11.2679,7.4739,1,3,71.800123,addition,COMMUNICATIONS,4112
TIGER GLOBAL MANAGEMENT LLC,America Movil S.A.B.DE C.V.,AMX,2007-06-30,SH,9680000.0,299741000.0,11460000.0,273837000.0,10.9101,12.9581,2,1,-15.532286,reduction,UTILITIES AND TELECOMMUNICATIONS,3509
TIGER GLOBAL MANAGEMENT LLC,American Tower Corp. Class A,AMT,2007-06-30,SH,5880000.0,246960000.0,6570000.0,255902000.0,8.989,12.1094,3,2,-10.502283,reduction,UTILITIES AND TELECOMMUNICATIONS,4850
TIGER GLOBAL MANAGEMENT LLC,Baidu Inc ADR,BIDU,2007-06-30,SH,11190000.0,187970000.0,9476620.0,91497000.0,6.8418,4.3297,4,9,18.080075,addition,COMMUNICATIONS,4807
TIGER GLOBAL MANAGEMENT LLC,Global X Emerging Markets Great Consumer ETF-,EMC,2007-06-30,SH,7975000.0,144348000.0,0.0,0.0,5.2541,,5,999999,,new,INFORMATION TECHNOLOGY,398
TIGER GLOBAL MANAGEMENT LLC,COMCAST CORP SPL A (NEW),CMCSK,2007-06-30,SH,4364999.0,122045000.0,4364999.0,111177000.0,4.4423,5.2609,6,4,0.0,,CONSUMER DISCRETIONARY,2829
TIGER GLOBAL MANAGEMENT LLC,NutriSystem Inc,NTRI,2007-06-30,SH,1700483.0,118779000.0,840483.0,44050000.0,4.3234,2.0845,7,14,102.322117,addition,CONSUMER DISCRETIONARY,3383
TIGER GLOBAL MANAGEMENT LLC,SBA Communications Corp.,SBAC,2007-06-30,SH,3240000.0,108832000.0,3240000.0,95742000.0,3.9613,4.5306,8,8,0.0,,UTILITIES AND TELECOMMUNICATIONS,3659
TIGER GLOBAL MANAGEMENT LLC,TransDigm Group Inc,TDG,2007-06-30,SH,2350000.0,95081000.0,0.0,0.0,3.4608,,9,999999,,new,INDUSTRIALS,2714
TIGER GLOBAL MANAGEMENT LLC,Focus Media Holdings Inc,FMCN,2007-06-30,SH,1850000.0,93397000.0,2490000.0,97683000.0,3.3995,4.6224,10,7,-25.702811,reduction,CONSUMER DISCRETIONARY,4819
TIGER GLOBAL MANAGEMENT LLC,Martin Marietta Materials Inc.,MLM,2007-06-30,SH,535700.0,86794000.0,728300.0,98466000.0,3.1592,4.6595,11,6,-26.445146,reduction,MATERIALS,3842
TIGER GLOBAL MANAGEMENT LLC,WNS (Holdings) Ltd ADR,WNS,2007-06-30,SH,2806081.0,79861000.0,2309816.0,67308000.0,2.9068,3.185,12,12,21.485045,addition,INFORMATION TECHNOLOGY,4975
TIGER GLOBAL MANAGEMENT LLC,NIKE Inc.,NKE,2007-06-30,SH,4460000.0,64993000.0,5520000.0,73319000.0,2.3657,3.4695,13,10,-19.202899,reduction,CONSUMER DISCRETIONARY,4000
TIGER GLOBAL MANAGEMENT LLC,CSX Corp,CSX,2007-06-30,SH,9932400.0,49750000.0,0.0,0.0,1.8108,,14,999999,,new,TRANSPORTS,220
